,Unnamed: 0,District Code,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment,Total Revenue,Revenue per student,County Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Student tested %
67,68.0,64311.0,BEVERLY HILLS UNIFIED,8.0,111.0,319.0,2923.0,10.0,153.0,499.0,4023.0,34713000.0,8628.64,190.0,904.0,15.0,25734.528571428567,29645.0,29624.0,4180.0,4091.0,4088.0,1608.0,1301.0,2910.0,734.0,447.0,101.69028088491177
68,69.0,62026.0,BIG CREEK ELEMENTARY,0.0,0.0,15.0,39.0,0.0,1.0,0.0,55.0,630000.0,11454.55,,,,,,,,,,,,,,,
69,70.0,62695.0,BIG LAGOON UNION ELEMENTARY,4.0,0.0,4.0,8.0,0.0,2.0,0.0,18.0,414000.0,23000.0,,,,,,,,,,,,,,,
70,71.0,75184.0,BIG OAK FLAT-GROVELAND UNIFIED,4.0,5.0,48.0,236.0,0.0,6.0,3.0,302.0,1603000.0,5307.95,110.0,160.0,3.0,4925.414285714285,1722.0,1722.0,252.0,246.0,246.0,14.0,48.0,62.0,70.0,114.0,81.45695364238411
71,72.0,63248.0,BIG PINE UNIFIED,76.0,0.0,36.0,40.0,1.0,17.0,1.0,171.0,1650000.0,9649.12,,,,,,,,,,,,,,,
72,73.0,70185.0,BIG SPRINGS UNION ELEMENTARY,3.0,1.0,34.0,121.0,0.0,15.0,5.0,179.0,1815000.0,10139.66,94.0,160.0,3.0,4990.85,936.0,924.0,140.0,134.0,134.0,26.0,53.0,79.0,23.0,32.0,74.86033519553072
73,74.0,75150.0,BIG SUR UNIFIED,0.0,0.0,26.0,67.0,1.0,13.0,2.0,109.0,1551000.0,14229.36,,,,,,,,,,,,,,,
74,75.0,64089.0,BIG VALLEY JOINT UNIFIED,8.0,0.0,21.0,118.0,0.0,0.0,0.0,147.0,1595000.0,10850.34,36.0,160.0,3.0,5063.25,791.0,791.0,33.0,33.0,33.0,2.0,8.0,10.0,11.0,12.0,22.448979591836736
75,76.0,61408.0,BIGGS UNIFIED,5.0,13.0,231.0,348.0,2.0,5.0,13.0,617.0,6067000.0,9833.06,16.0,316.0,6.0,9830.364285714286,3829.0,3822.0,579.0,531.0,530.0,31.0,93.0,124.0,152.0,255.0,86.06158833063209
76,77.0,76687.0,BISHOP UNIFIED,279.0,9.0,714.0,734.0,0.0,131.0,23.0,1890.0,11530000.0,6100.53,112.0,754.0,12.0,20119.95714285714,12985.0,12985.0,1872.0,1785.0,1785.0,255.0,396.0,651.0,485.0,649.0,94.44444444444444
77,78.0,67454.0,BITTERWATER-TULLY ELEMENTARY,0.0,0.0,11.0,21.0,0.0,0.0,0.0,32.0,359000.0,11218.75,,,,,,,,,,,,,,,
78,79.0,69880.0,BLACK BUTTE UNION ELEMENTARY,12.0,2.0,22.0,162.0,2.0,11.0,2.0,213.0,1489000.0,6990.61,90.0,160.0,3.0,4955.466666666667,1206.0,1206.0,208.0,201.0,201.0,24.0,42.0,66.0,55.0,80.0,94.36619718309859
79,80.0,73783.0,BLACK OAK MINE UNIFIED,29.0,6.0,118.0,1067.0,0.0,22.0,11.0,1253.0,9424000.0,7521.15,36.0,316.0,6.0,9762.342857142858,8876.0,8862.0,1205.0,1168.0,1166.0,101.0,292.0,394.0,378.0,395.0,93.21628092577812
80,81.0,63354.0,BLAKE ELEMENTARY,0.0,0.0,4.0,7.0,0.0,0.0,0.0,11.0,215000.0,19545.45,,,,,,,,,,,,,,,
81,82.0,69112.0,BLOCHMAN UNION ELEMENTARY,8.0,15.0,326.0,814.0,5.0,91.0,18.0,1277.0,2426000.0,1899.77,168.0,316.0,6.0,10052.466666666667,1356.0,1356.0,126.0,122.0,122.0,19.0,30.0,49.0,38.0,35.0,9.553641346906813
82,83.0,62703.0,BLUE LAKE UNION ELEMENTARY,13.0,1.0,20.0,95.0,0.0,40.0,0.0,169.0,1730000.0,10236.69,24.0,160.0,3.0,4981.133333333333,738.0,738.0,78.0,77.0,77.0,10.0,17.0,27.0,25.0,25.0,45.562130177514796
83,84.0,70193.0,BOGUS ELEMENTARY,0.0,0.0,0.0,14.0,0.0,6.0,0.0,20.0,212000.0,10600.0,,,,,,,,,,,,,,,
84,85.0,65300.0,BOLINAS-STINSON UNION,0.0,1.0,20.0,52.0,0.0,10.0,2.0,85.0,1733000.0,20388.24,,,,,,,,,,,,,,,
85,86.0,64329.0,BONITA UNIFIED,23.0,313.0,5202.0,2976.0,17.0,866.0,830.0,10227.0,96722000.0,9457.51,228.0,1058.0,18.0,30734.085714285713,70938.0,70931.0,10249.0,10134.0,10133.0,2956.0,3215.0,6172.0,2362.0,1600.0,99.09064241713112
86,87.0,69732.0,BONNY DOON UNION ELEMENTARY,2.0,0.0,5.0,152.0,0.0,1.0,3.0,163.0,744000.0,4564.42,88.0,160.0,3.0,4998.025000000001,704.0,704.0,180.0,176.0,176.0,36.0,57.0,93.0,58.0,25.0,107.97546012269939
87,88.0,76851.0,BONSALL UNIFIED,153.0,56.0,932.0,1360.0,11.0,212.0,135.0,2859.0,19562000.0,6842.25,296.0,618.0,12.0,20080.76,18186.0,18179.0,2556.0,2502.0,2501.0,708.0,804.0,1513.0,569.0,420.0,87.5131164742917
88,89.0,67983.0,BORREGO SPRINGS UNIFIED,4.0,34.0,704.0,113.0,5.0,20.0,6.0,886.0,11453000.0,12926.64,74.0,156.0,3.0,4939.242857142856,2380.0,2380.0,342.0,340.0,340.0,22.0,66.0,88.0,90.0,162.0,38.37471783295711
89,90.0,65979.0,BRADLEY UNION ELEMENTARY,5.0,3.0,53.0,131.0,0.0,16.0,6.0,214.0,984000.0,4598.13,,,,,,,,,,,,,,,
90,91.0,63073.0,BRAWLEY ELEMENTARY,1.0,34.0,3794.0,143.0,1.0,3.0,16.0,3992.0,48581000.0,12169.59,52.0,316.0,6.0,9945.35,29280.0,29280.0,4926.0,4880.0,4880.0,414.0,1058.0,1472.0,1527.0,1881.0,122.2444889779559
91,92.0,63081.0,BRAWLEY UNION HIGH,1.0,21.0,1650.0,152.0,2.0,5.0,15.0,1846.0,23161000.0,12546.59,52.0,316.0,6.0,10291.2,858.0,858.0,878.0,858.0,858.0,113.0,229.0,342.0,211.0,305.0,46.478873239436616
92,93.0,66449.0,BREA-OLINDA UNIFIED,10.0,96.0,2150.0,1972.0,26.0,178.0,1477.0,5909.0,33795000.0,5719.24,300.0,910.0,15.0,25681.073809523805,41958.0,41951.0,6027.0,5956.0,5955.0,2002.0,1835.0,3837.0,1230.0,888.0,100.79539685225927
