County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
4,61457,1,2,2418.1,390.0,390.0,42.0,40.0,40.0,2.0,9.0,11.0,4.0,25.0
4,61457,1,1,2412.2999999999997,396.0,396.0,42.0,41.0,41.0,0.0,9.0,9.0,10.0,22.0
4,61499,1,2,2531.6833333333334,1044.0,1044.0,184.0,174.0,174.0,48.0,45.0,93.0,55.0,26.0
4,61499,1,1,2509.6666666666665,1044.0,1044.0,184.0,174.0,174.0,35.0,60.0,95.0,37.0,42.0
4,61507,1,1,2448.116666666667,9084.0,9078.0,1543.0,1514.0,1513.0,98.0,312.0,410.0,384.0,719.0
4,61507,1,2,2447.266666666667,9084.0,9036.0,1543.0,1514.0,1506.0,89.0,219.0,308.0,468.0,738.0
4,61515,1,1,2587.9,480.0,479.0,519.0,480.0,479.0,95.0,159.0,255.0,137.0,88.0
4,61515,1,2,2537.3,480.0,479.0,519.0,480.0,479.0,16.0,81.0,97.0,115.0,268.0
4,61523,1,2,2441.266666666667,4818.0,4812.0,866.0,803.0,802.0,29.0,97.0,126.0,249.0,428.0
4,61523,1,1,2458.25,4824.0,4824.0,866.0,804.0,804.0,58.0,183.0,241.0,222.0,341.0
4,61531,1,2,2478.2571428571428,11074.0,11074.0,1651.0,1582.0,1582.0,129.0,286.0,415.0,489.0,678.0
4,61531,1,1,2489.7714285714287,11109.0,11102.0,1650.0,1587.0,1586.0,185.0,427.0,613.0,397.0,577.0
4,61549,1,2,2457.35,5400.0,5400.0,917.0,900.0,900.0,53.0,138.0,191.0,312.0,397.0
4,61549,1,1,2452.0833333333335,5376.0,5370.0,918.0,896.0,895.0,54.0,185.0,239.0,257.0,399.0
5,61556,1,2,2582.1,150.0,150.0,158.0,150.0,150.0,20.0,41.0,61.0,33.0,56.0
5,61556,1,1,2623.8,151.0,151.0,158.0,151.0,151.0,50.0,53.0,103.0,25.0,23.0
5,61564,1,2,2482.628571428571,10423.0,10409.0,1564.0,1489.0,1487.0,125.0,276.0,401.0,482.0,604.0
5,61564,1,1,2485.785714285714,10388.0,10374.0,1563.0,1484.0,1482.0,150.0,395.0,545.0,427.0,510.0
5,61572,1,1,2489.6666666666665,3162.0,3162.0,552.0,527.0,527.0,79.0,145.0,224.0,134.0,169.0
5,61572,1,2,2480.95,3162.0,3162.0,552.0,527.0,527.0,41.0,130.0,171.0,180.0,176.0
5,61580,1,2,2523.983333333333,2298.0,2298.0,390.0,383.0,383.0,92.0,109.0,201.0,113.0,69.0
5,61580,1,1,2518.4666666666667,2310.0,2310.0,390.0,385.0,385.0,90.0,128.0,218.0,86.0,81.0
6,61598,1,1,2490.542857142857,5229.0,5229.0,811.0,747.0,747.0,71.0,230.0,301.0,197.0,249.0
6,61598,1,2,2487.3,5187.0,5187.0,811.0,741.0,741.0,73.0,171.0,244.0,201.0,296.0
6,61606,1,2,2505.457142857143,1295.0,1288.0,190.0,185.0,184.0,26.0,51.0,77.0,47.0,60.0
6,61606,1,1,2492.571428571428,1295.0,1295.0,190.0,185.0,185.0,28.0,47.0,75.0,48.0,62.0
6,61614,1,1,2486.5142857142855,5649.0,5649.0,823.0,807.0,807.0,85.0,198.0,283.0,237.0,287.0
6,61614,1,2,2485.371428571428,5677.0,5677.0,823.0,811.0,811.0,70.0,157.0,227.0,277.0,307.0
6,61622,1,1,2464.957142857143,4788.0,4788.0,720.0,684.0,684.0,42.0,140.0,182.0,191.0,311.0
6,61622,1,2,2462.1571428571433,4795.0,4795.0,720.0,685.0,685.0,24.0,102.0,126.0,216.0,343.0
7,61630,1,1,2676.6,1346.0,1346.0,1422.0,1346.0,1346.0,742.0,386.0,1128.0,140.0,78.0
7,61630,1,2,2675.2,1318.0,1318.0,1422.0,1318.0,1318.0,526.0,386.0,912.0,234.0,172.0
7,61648,1,1,2468.5,60928.0,60879.0,9022.0,8704.0,8697.0,789.0,1945.0,2734.0,2210.0,3758.0
7,61648,1,2,2455.328571428571,60914.0,60837.0,9017.0,8702.0,8691.0,476.0,1233.0,1709.0,2402.0,4588.0
7,61655,1,2,2522.516666666667,36240.0,36240.0,6162.0,6040.0,6040.0,1464.0,1606.0,3070.0,1716.0,1254.0
7,61655,1,1,2526.0166666666664,36252.0,36228.0,6164.0,6042.0,6038.0,1542.0,2084.0,3630.0,1337.0,1075.0
7,61663,1,2,2519.0833333333335,6600.0,6594.0,1119.0,1100.0,1099.0,273.0,270.0,543.0,304.0,252.0
7,61663,1,1,2503.5,6606.0,6606.0,1119.0,1101.0,1101.0,195.0,363.0,558.0,267.0,276.0
7,61697,1,2,2468.7428571428572,5565.0,5565.0,815.0,795.0,795.0,57.0,142.0,199.0,223.0,373.0
7,61697,1,1,2483.9428571428575,5558.0,5558.0,815.0,794.0,794.0,90.0,199.0,289.0,221.0,284.0
7,61705,1,1,2490.8333333333335,2190.0,2190.0,375.0,365.0,365.0,43.0,123.0,166.0,98.0,101.0
7,61705,1,2,2490.7166666666667,2214.0,2214.0,375.0,369.0,369.0,50.0,82.0,132.0,117.0,120.0
7,61713,1,2,2590.0833333333335,14400.0,14394.0,2462.0,2400.0,2399.0,1297.0,656.0,1953.0,339.0,108.0
7,61713,1,1,2580.2000000000003,14370.0,14370.0,2463.0,2395.0,2395.0,1124.0,875.0,1999.0,285.0,111.0
7,61721,1,1,2625.1,1917.0,1915.0,1983.0,1917.0,1915.0,624.0,687.0,1310.0,381.0,225.0
7,61721,1,2,2571.0,1909.0,1908.0,1983.0,1909.0,1908.0,152.0,457.0,609.0,586.0,713.0
7,61739,1,2,2514.171428571429,15246.0,15246.0,2219.0,2178.0,2178.0,381.0,535.0,916.0,650.0,612.0
7,61739,1,1,2522.257142857143,15218.0,15218.0,2218.0,2174.0,2174.0,443.0,712.0,1155.0,528.0,491.0
7,61747,1,2,2595.2,7764.0,7764.0,1325.0,1294.0,1294.0,736.0,343.0,1079.0,161.0,54.0
7,61747,1,1,2588.2833333333333,7740.0,7740.0,1325.0,1290.0,1290.0,677.0,429.0,1106.0,136.0,48.0
7,61754,1,2,2502.542857142857,117264.0,117138.0,17331.0,16752.0,16734.0,2998.0,3467.0,6466.0,4347.0,5940.0
7,61754,1,1,2514.8285714285716,116914.0,116697.0,17330.0,16702.0,16671.0,3550.0,4804.0,8355.0,3768.0,4580.0
7,61762,1,1,2478.2166666666667,19656.0,19650.0,3339.0,3276.0,3275.0,367.0,891.0,1258.0,888.0,1129.0
7,61762,1,2,2466.566666666666,19686.0,19686.0,3339.0,3281.0,3281.0,262.0,636.0,898.0,1059.0,1324.0
7,61770,1,1,2592.0666666666666,10104.0,10104.0,1725.0,1684.0,1684.0,932.0,524.0,1456.0,164.0,64.0
7,61770,1,2,2601.55,10104.0,10104.0,1725.0,1684.0,1684.0,1025.0,393.0,1418.0,212.0,54.0
