County Code,District Code,Subgroup ID,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
30,73635,78,2499.3857142857146,82080.0,82064.0,20990.0,20520.0,2648.0,5230.0,7878.0,5998.0,6640.0,20516.0
30,73635,80,2565.2714285714287,104408.0,104360.0,26788.0,26102.0,9167.0,8639.0,17809.0,5254.0,3039.0,26090.0
30,73635,144,2569.7857142857138,14456.0,14456.0,3732.0,3614.0,1370.0,1160.0,2530.0,684.0,400.0,3614.0
30,73635,74,2500.292857142857,3208.0,3200.0,820.0,802.0,108.0,204.0,312.0,222.0,266.0,800.0
30,73635,77,2554.6142857142854,7240.0,7240.0,1872.0,1810.0,554.0,570.0,1124.0,444.0,242.0,1810.0
30,73643,144,2585.3928571428573,6208.0,6208.0,1564.0,1552.0,718.0,440.0,1158.0,262.0,132.0,1552.0
30,73643,80,2572.8428571428567,55744.0,55736.0,14154.0,13936.0,5408.0,4478.0,9888.0,2608.0,1440.0,13934.0
30,73643,77,2572.4357142857143,3640.0,3640.0,914.0,910.0,352.0,290.0,642.0,182.0,86.0,910.0
30,73643,76,2620.314285714286,40248.0,40248.0,10196.0,10062.0,6336.0,2432.0,8768.0,832.0,462.0,10062.0
30,73643,74,2494.921428571429,3944.0,3944.0,996.0,986.0,154.0,220.0,374.0,254.0,358.0,986.0
30,73643,78,2494.2285714285713,94384.0,94376.0,23808.0,23596.0,2904.0,5742.0,8646.0,6792.0,8157.0,23594.0
30,73650,78,2529.05,30896.0,30888.0,7872.0,7724.0,1838.0,2202.0,4041.0,1834.0,1848.0,7722.0
30,73650,79,2601.1000000000004,680.0,680.0,114.0,109.0,37.0,30.0,67.0,20.0,22.0,109.0
30,73650,80,2571.8571428571427,83912.0,83880.0,21440.0,20978.0,8111.0,6579.0,14693.0,3991.0,2294.0,20970.0
30,73650,74,2496.1428571428573,5976.0,5968.0,1528.0,1494.0,198.0,384.0,582.0,424.0,486.0,1492.0
30,73650,76,2621.6142857142854,134744.0,134736.0,34468.0,33686.0,21062.0,8068.0,29130.0,3086.0,1470.0,33684.0
30,73650,144,2587.307142857143,24456.0,24456.0,6200.0,6114.0,2976.0,1766.0,4742.0,900.0,472.0,6114.0
30,73650,77,2585.0285714285715,6216.0,6208.0,1580.0,1554.0,666.0,502.0,1170.0,290.0,94.0,1552.0
26,73668,78,2477.1699999999996,1360.0,1344.0,328.0,314.0,13.0,83.0,96.0,91.0,127.0,311.0
26,73668,80,2496.59,1744.0,1736.0,402.0,396.0,86.0,104.0,191.0,91.0,113.0,394.0
33,73676,78,2448.628571428571,160184.0,160120.0,40610.0,40046.0,1989.0,6310.0,8298.0,10326.0,21422.0,40030.0
33,73676,80,2470.89,1328.0,1328.0,322.0,306.0,26.0,55.0,81.0,109.0,116.0,306.0
33,73676,75,2416.825,840.0,840.0,156.0,153.0,4.0,16.0,20.0,33.0,100.0,153.0
47,73684,78,2455.7666666666664,1040.0,1040.0,208.0,206.0,18.0,33.0,51.0,48.0,107.0,206.0
47,73684,80,2450.375,1200.0,1200.0,216.0,210.0,20.0,43.0,63.0,73.0,74.0,210.0
26,73692,78,2458.85,5920.0,5920.0,1520.0,1480.0,62.0,204.0,266.0,470.0,744.0,1480.0
26,73692,80,2561.5,3664.0,3664.0,964.0,916.0,298.0,288.0,586.0,220.0,110.0,916.0
24,73726,78,2475.225,910.0,910.0,250.0,238.0,10.0,66.0,76.0,67.0,95.0,238.0
15,73742,144,2473.875,1120.0,1120.0,242.0,242.0,44.0,55.0,99.0,76.0,67.0,242.0
15,73742,78,2483.6142857142854,11176.0,11176.0,2806.0,2794.0,326.0,570.0,896.0,822.0,1076.0,2794.0
15,73742,77,2546.45,920.0,920.0,140.0,139.0,34.0,42.0,76.0,34.0,29.0,139.0
15,73742,76,2618.65,1120.0,1120.0,196.0,193.0,68.0,69.0,137.0,35.0,21.0,193.0
15,73742,75,2502.15,608.0,608.0,98.0,98.0,15.0,20.0,35.0,24.0,39.0,98.0
15,73742,74,2462.4785714285713,2264.0,2264.0,574.0,566.0,46.0,106.0,152.0,130.0,284.0,566.0
15,73742,80,2516.157142857143,23952.0,23952.0,6060.0,5988.0,1160.0,1588.0,2748.0,1588.0,1652.0,5988.0
56,73759,144,2579.092857142858,7632.0,7624.0,1996.0,1908.0,812.0,634.0,1448.0,278.0,182.0,1906.0
56,73759,78,2491.2142857142853,41016.0,40984.0,10634.0,10254.0,1182.0,2534.0,3716.0,2880.0,3656.0,10246.0
56,73759,76,2623.507142857143,15360.0,15344.0,3916.0,3840.0,2488.0,873.0,3362.0,340.0,138.0,3836.0
56,73759,77,2594.77,1696.0,1696.0,420.0,400.0,133.0,138.0,271.0,80.0,49.0,400.0
