,County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
146,1,75101,79,210.0,210.0,32.0,30.0,30.0,22.0,16.0,38.0,12.0,10.0
147,1,75101,80,54496.0,54488.0,13916.0,13624.0,13622.0,90698.0,73621.0,164319.0,34950.0,18718.0
148,1,75101,144,7080.0,7080.0,1800.0,1770.0,1770.0,13638.0,8283.0,21920.0,3397.0,3003.0
149,1,75119,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,1,75119,76,392.0,392.0,56.0,56.0,56.0,62.0,36.0,98.0,12.0,2.0
151,1,75119,78,546.0,546.0,80.0,78.0,78.0,42.0,66.0,108.0,24.0,24.0
152,1,75119,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,1,75119,80,1022.0,1022.0,244.0,240.0,240.0,608.0,663.0,1271.0,576.0,72.0
154,1,75119,144,350.0,350.0,50.0,50.0,50.0,60.0,30.0,90.0,8.0,2.0
155,2,61333,75,322.0,322.0,48.0,46.0,46.0,6.0,24.0,30.0,24.0,38.0
156,2,61333,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,2,61333,80,434.0,434.0,64.0,62.0,62.0,32.0,32.0,64.0,40.0,20.0
158,2,61333,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,3,10033,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,3,10033,78,385.0,385.0,66.0,55.0,55.0,2.0,10.0,12.0,6.0,92.0
161,3,10033,80,1368.0,1368.0,312.0,279.0,279.0,28.0,253.0,281.0,402.0,991.0
162,3,10033,144,66.0,66.0,13.0,11.0,11.0,0.0,1.0,1.0,4.0,6.0
163,3,73981,74,208.0,208.0,28.0,26.0,26.0,2.0,10.0,12.0,20.0,20.0
164,3,73981,75,904.0,904.0,178.0,167.0,167.0,55.0,213.0,268.0,261.0,473.0
165,3,73981,76,238.0,238.0,36.0,34.0,34.0,20.0,16.0,36.0,26.0,6.0
166,3,73981,77,182.0,175.0,26.0,26.0,25.0,8.0,21.0,29.0,13.0,10.0
167,3,73981,78,6744.0,6728.0,1744.0,1686.0,1682.0,2348.0,6076.0,8424.0,8820.0,9732.0
168,3,73981,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,3,73981,80,22040.0,22008.0,5700.0,5510.0,5502.0,13013.0,23228.0,36240.0,26176.0,25743.0
170,3,73981,144,1784.0,1784.0,448.0,426.0,426.0,688.0,1689.0,2377.0,1554.0,2033.0
171,4,10041,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,4,10041,75,156.0,156.0,26.0,26.0,26.0,0.0,2.0,2.0,12.0,38.0
173,4,10041,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,4,10041,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,4,10041,78,816.0,816.0,148.0,136.0,136.0,11.0,80.0,91.0,163.0,291.0
176,4,10041,80,1624.0,1624.0,354.0,338.0,338.0,163.0,311.0,474.0,833.0,1397.0
177,4,10041,144,156.0,156.0,26.0,26.0,26.0,0.0,8.0,8.0,8.0,36.0
178,4,61382,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,4,61382,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,4,61382,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,4,61382,80,616.0,616.0,94.0,88.0,88.0,16.0,40.0,56.0,58.0,62.0
182,4,61382,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,4,61408,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,4,61408,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,4,61408,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,4,61408,78,1960.0,1952.0,518.0,474.0,472.0,166.0,761.0,926.0,1902.0,3807.0
187,4,61408,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,4,61408,80,2416.0,2416.0,662.0,604.0,604.0,788.0,2094.0,2882.0,2701.0,4081.0
189,4,61408,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,4,61424,74,2752.0,2752.0,708.0,688.0,688.0,1385.0,2575.0,3960.0,2484.0,4564.0
191,4,61424,75,1560.0,1560.0,384.0,374.0,374.0,700.0,1009.0,1710.0,1468.0,2059.0
192,4,61424,76,5904.0,5904.0,1500.0,1476.0,1476.0,4258.0,6148.0,10406.0,6541.0,6670.0
193,4,61424,77,768.0,768.0,100.0,96.0,96.0,64.0,66.0,130.0,38.0,24.0
194,4,61424,78,24680.0,24656.0,6328.0,6170.0,6164.0,9415.0,21860.0,31274.0,28001.0,39444.0
195,4,61424,79,536.0,536.0,70.0,67.0,67.0,24.0,54.0,78.0,44.0,12.0
196,4,61424,80,57048.0,57024.0,14716.0,14262.0,14256.0,52316.0,72151.0,124472.0,54307.0,49416.0
197,4,61424,144,3472.0,3472.0,900.0,868.0,868.0,2343.0,3206.0,5549.0,3693.0,4646.0
198,4,61432,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,4,61432,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,4,61432,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,4,61432,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,4,61432,78,1736.0,1736.0,422.0,416.0,416.0,141.0,1380.0,1521.0,1800.0,2503.0
203,4,61432,80,5832.0,5832.0,1492.0,1458.0,1458.0,5085.0,7969.0,13054.0,6152.0,4122.0
204,4,61432,144,384.0,384.0,48.0,48.0,48.0,28.0,30.0,58.0,24.0,14.0
205,4,61440,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,4,61440,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,4,61440,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,4,61440,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,4,61440,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,4,61457,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,4,61457,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,4,61457,80,637.0,637.0,96.0,91.0,91.0,8.0,20.0,28.0,38.0,116.0
213,4,61457,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,4,61499,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,4,61499,76,168.0,168.0,24.0,24.0,24.0,12.0,16.0,28.0,8.0,12.0
216,4,61499,78,924.0,924.0,230.0,228.0,228.0,154.0,734.0,888.0,803.0,589.0
217,4,61499,80,1190.0,1190.0,376.0,340.0,340.0,1802.0,1593.0,3394.0,734.0,632.0
218,4,61499,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,4,61507,74,770.0,763.0,190.0,181.0,180.0,18.0,65.0,83.0,371.0,994.0
