County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
1,61143,74,11688.0,11632.0,3268.0,2922.0,138.0,450.0,588.0,769.0,1564.0,2908.0
1,61143,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61143,76,5216.0,5216.0,1440.0,1304.0,414.0,380.0,794.0,264.0,246.0,1304.0
1,61143,77,328.0,328.0,42.0,41.0,11.0,14.0,25.0,8.0,8.0,41.0
1,61143,78,16848.0,16800.0,4528.0,4212.0,709.0,1024.0,1733.0,1139.0,1339.0,4200.0
1,61143,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61143,80,29584.0,29528.0,8128.0,7396.0,3821.0,2180.0,6001.0,909.0,486.0,7382.0
1,61143,144,10800.0,10776.0,2884.0,2700.0,1084.0,786.0,1869.0,420.0,408.0,2694.0
1,61150,74,4336.0,4320.0,1156.0,1084.0,158.0,245.0,404.0,328.0,353.0,1080.0
1,61150,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61150,76,21104.0,21104.0,5340.0,5276.0,2732.0,1532.0,4264.0,714.0,298.0,5276.0
1,61150,77,2624.0,2624.0,672.0,656.0,204.0,214.0,418.0,160.0,78.0,656.0
1,61150,78,18488.0,18456.0,4712.0,4622.0,837.0,1304.0,2140.0,1260.0,1219.0,4614.0
1,61150,79,168.0,168.0,24.0,24.0,3.0,9.0,12.0,9.0,3.0,24.0
1,61150,80,22664.0,22648.0,5812.0,5666.0,1931.0,1763.0,3694.0,1186.0,784.0,5662.0
1,61150,144,8288.0,8264.0,2128.0,2072.0,796.0,674.0,1470.0,366.0,234.0,2066.0
1,61168,74,2648.0,2648.0,700.0,662.0,20.0,82.0,102.0,170.0,390.0,662.0
1,61168,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61168,76,608.0,608.0,80.0,76.0,6.0,21.0,27.0,26.0,23.0,76.0
1,61168,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61168,78,1320.0,1320.0,316.0,298.0,32.0,52.0,84.0,88.0,126.0,298.0
1,61168,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61168,80,624.0,624.0,82.0,78.0,12.0,19.0,31.0,15.0,32.0,78.0
1,61168,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,61176,74,6512.0,6496.0,1658.0,1628.0,178.0,388.0,567.0,449.0,612.0,1624.0
1,61176,75,752.0,752.0,124.0,118.0,26.0,37.0,63.0,29.0,26.0,118.0
1,61176,76,182232.0,182168.0,46120.0,45558.0,29962.0,9725.0,39687.0,3733.0,2139.0,45542.0
1,61176,77,14504.0,14504.0,3672.0,3626.0,1078.0,1310.0,2388.0,764.0,474.0,3626.0
1,61176,78,43176.0,43136.0,10974.0,10794.0,1338.0,2673.0,4013.0,3084.0,3695.0,10784.0
1,61176,79,1504.0,1504.0,360.0,356.0,53.0,76.0,129.0,106.0,121.0,356.0
1,61176,80,35520.0,35496.0,9128.0,8880.0,2698.0,2644.0,5342.0,1880.0,1657.0,8874.0
