County Code,District Code,Subgroup ID,Test Id,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Mean Scale Score,Total Standard Met,Total Standard Nearly Met,Total Standard Not Met,Students with Scores,Total Standard Met and Above
10,62539,1,2,2976.0,2976.0,814.0,744.0,10.0,17056.1,76.0,186.0,472.0,744.0,86.0
10,62547,1,1,959.0,959.0,278.0,274.0,6.0,14607.800000000001,50.0,68.0,150.0,274.0,56.0
10,62547,1,2,959.0,959.0,278.0,274.0,2.0,14600.399999999998,24.0,92.0,156.0,274.0,26.0
10,73809,1,1,9416.0,9416.0,2386.0,2354.0,332.0,17535.1,700.0,656.0,666.0,2354.0,1032.0
10,73809,1,2,9496.0,9496.0,2384.0,2374.0,100.0,17266.1,428.0,726.0,1120.0,2374.0,528.0
10,73965,1,1,65448.0,65352.0,16638.0,16362.0,2071.0,17463.600000000002,4537.0,4527.0,5227.0,16338.0,6607.0
10,73965,1,2,65616.0,65600.0,16640.0,16404.0,1642.0,17361.199999999997,3034.0,4876.0,6850.0,16400.0,4676.0
10,73999,1,1,21664.0,21664.0,5462.0,5416.0,812.0,17534.2,1690.0,1394.0,1520.0,5416.0,2502.0
10,73999,1,2,21744.0,21744.0,5462.0,5436.0,506.0,17388.5,1092.0,1694.0,2144.0,5436.0,1598.0
10,75127,1,1,12960.0,12952.0,3476.0,3240.0,306.0,17352.4,844.0,858.0,1230.0,3238.0,1150.0
10,75127,1,2,13568.0,13544.0,3478.0,3392.0,208.0,17197.5,494.0,1010.0,1679.0,3386.0,703.0
10,75234,1,1,7744.0,7712.0,1962.0,1936.0,105.0,17130.0,334.0,438.0,1059.0,1928.0,439.0
10,75234,1,2,7760.0,7720.0,1960.0,1940.0,80.0,17081.499999999996,216.0,482.0,1162.0,1930.0,296.0
10,75275,1,1,5344.0,5344.0,1360.0,1336.0,240.0,17553.3,436.0,294.0,366.0,1336.0,676.0
10,75275,1,2,5336.0,5336.0,1360.0,1334.0,154.0,17484.7,300.0,392.0,488.0,1334.0,454.0
10,75408,1,1,6720.0,6720.0,1702.0,1680.0,154.0,17400.3,498.0,490.0,538.0,1680.0,652.0
10,75408,1,2,6728.0,6728.0,1702.0,1682.0,98.0,17352.6,330.0,550.0,704.0,1682.0,428.0
10,75598,1,1,5504.0,5504.0,1384.0,1376.0,162.0,17446.7,372.0,398.0,444.0,1376.0,534.0
10,75598,1,2,5520.0,5520.0,1384.0,1380.0,150.0,17429.9,286.0,400.0,544.0,1380.0,436.0
10,76778,1,1,9576.0,9568.0,2462.0,2394.0,258.0,17402.1,642.0,682.0,810.0,2392.0,901.0
10,76778,1,2,9568.0,9568.0,2460.0,2392.0,182.0,17303.7,404.0,686.0,1120.0,2392.0,586.0
11,10116,1,1,376.0,376.0,91.0,61.0,6.0,2509.8,12.0,15.0,28.0,61.0,18.0
11,10116,1,2,392.0,392.0,91.0,65.0,0.0,2473.4,7.0,13.0,45.0,65.0,7.0
11,62554,1,1,952.0,952.0,276.0,272.0,30.0,14915.800000000001,92.0,58.0,92.0,272.0,122.0
11,62554,1,2,952.0,952.0,276.0,272.0,48.0,15005.300000000001,72.0,74.0,78.0,272.0,120.0
11,62596,1,1,770.0,770.0,220.0,220.0,42.0,15057.0,64.0,56.0,58.0,220.0,106.0
11,62596,1,2,763.0,763.0,220.0,218.0,48.0,15133.099999999999,52.0,60.0,58.0,218.0,100.0
11,62638,1,1,903.0,903.0,264.0,258.0,34.0,15005.199999999999,92.0,76.0,56.0,258.0,126.0
11,62638,1,2,903.0,903.0,264.0,258.0,42.0,15128.0,82.0,92.0,42.0,258.0,124.0
11,62646,1,1,824.0,824.0,201.0,197.0,23.0,15066.9,59.0,56.0,59.0,197.0,82.0
11,62646,1,2,832.0,832.0,203.0,199.0,26.0,15079.7,43.0,60.0,70.0,199.0,69.0
11,62653,1,1,368.0,368.0,48.0,46.0,2.0,0.0,8.0,10.0,26.0,46.0,10.0
11,62653,1,2,368.0,368.0,48.0,46.0,1.0,0.0,5.0,15.0,25.0,46.0,6.0
11,62661,1,1,5808.0,5808.0,1514.0,1452.0,96.0,17282.5,290.0,480.0,586.0,1452.0,386.0
11,62661,1,2,5808.0,5800.0,1518.0,1452.0,78.0,17239.7,228.0,392.0,754.0,1450.0,306.0
11,75481,1,1,8384.0,8376.0,2210.0,2096.0,142.0,17293.3,484.0,574.0,894.0,2094.0,626.0
11,75481,1,2,8472.0,8464.0,2210.0,2118.0,60.0,17194.7,256.0,652.0,1149.0,2116.0,316.0
11,76562,1,1,2704.0,2696.0,692.0,676.0,60.0,17382.7,200.0,178.0,236.0,674.0,261.0
11,76562,1,2,2720.0,2712.0,692.0,680.0,28.0,17185.3,96.0,190.0,366.0,678.0,124.0
12,10124,1,1,260.0,260.0,127.0,98.0,0.0,4795.700000000001,0.0,14.0,84.0,98.0,0.0
12,10124,1,2,255.0,255.0,127.0,96.0,0.0,4724.200000000001,0.0,2.0,94.0,96.0,0.0
12,62679,1,1,2380.0,2380.0,704.0,680.0,162.0,15089.199999999999,192.0,186.0,140.0,680.0,354.0
12,62679,1,2,2373.0,2366.0,704.0,678.0,122.0,15044.6,150.0,226.0,178.0,676.0,272.0
12,62687,1,1,736.0,736.0,782.0,736.0,218.0,2596.0,222.0,120.0,176.0,736.0,440.0
12,62687,1,2,734.0,734.0,782.0,734.0,124.0,2568.6,136.0,154.0,320.0,734.0,260.0
12,62695,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62695,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62703,1,1,742.0,742.0,218.0,212.0,22.0,14757.7,46.0,64.0,80.0,212.0,68.0
12,62703,1,2,756.0,756.0,218.0,216.0,14.0,14740.499999999998,32.0,74.0,96.0,216.0,46.0
12,62729,1,1,84.0,84.0,13.0,12.0,1.0,0.0,3.0,6.0,2.0,12.0,4.0
12,62729,1,2,84.0,84.0,13.0,12.0,2.0,0.0,2.0,6.0,2.0,12.0,4.0
12,62737,1,1,539.0,539.0,154.0,146.0,13.0,12403.8,49.0,42.0,42.0,146.0,62.0
12,62737,1,2,539.0,539.0,156.0,146.0,9.0,12421.099999999999,40.0,57.0,40.0,146.0,49.0
12,62745,1,1,1680.0,1680.0,688.0,672.0,138.0,9917.1,200.0,164.0,170.0,672.0,338.0
12,62745,1,2,1670.0,1670.0,688.0,668.0,108.0,9925.3,176.0,230.0,154.0,668.0,284.0
12,62794,1,1,630.0,630.0,196.0,180.0,56.0,15337.7,74.0,44.0,6.0,180.0,130.0
12,62794,1,2,630.0,630.0,196.0,180.0,34.0,15175.5,54.0,76.0,16.0,180.0,88.0
12,62810,1,1,468.0,468.0,494.0,468.0,102.0,2598.0,174.0,116.0,76.0,468.0,276.0
12,62810,1,2,462.0,462.0,494.0,462.0,24.0,2549.4,84.0,134.0,220.0,462.0,108.0
12,62828,1,1,1477.0,1477.0,424.0,422.0,120.0,15253.3,158.0,98.0,46.0,422.0,278.0
12,62828,1,2,1470.0,1470.0,422.0,420.0,108.0,15250.4,132.0,130.0,50.0,420.0,240.0
12,62836,1,1,200.0,200.0,63.0,63.0,17.0,4954.4,18.0,13.0,15.0,63.0,35.0
12,62836,1,2,200.0,200.0,63.0,63.0,16.0,4945.6,18.0,12.0,17.0,63.0,34.0
12,62851,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62851,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62885,1,1,882.0,882.0,254.0,252.0,52.0,15181.7,116.0,42.0,42.0,252.0,168.0
12,62885,1,2,882.0,882.0,254.0,252.0,46.0,15166.6,90.0,64.0,52.0,252.0,136.0
12,62893,1,1,2107.0,2107.0,616.0,602.0,228.0,15324.499999999998,206.0,112.0,56.0,602.0,434.0
12,62893,1,2,2107.0,2107.0,616.0,602.0,242.0,15356.5,170.0,134.0,56.0,602.0,412.0
12,62901,1,1,4024.0,4000.0,1098.0,1006.0,34.0,16982.9,136.0,185.0,651.0,1000.0,171.0
12,62901,1,2,4008.0,4000.0,1098.0,1002.0,22.0,16909.6,90.0,190.0,700.0,1000.0,112.0
12,62919,1,1,114.0,114.0,21.0,19.0,1.0,0.0,6.0,7.0,5.0,19.0,7.0
12,62919,1,2,108.0,108.0,21.0,18.0,2.0,0.0,3.0,5.0,8.0,18.0,5.0
12,62927,1,1,399.0,392.0,103.0,96.0,4.0,7160.900000000001,8.0,19.0,65.0,94.0,12.0
12,62927,1,2,406.0,399.0,103.0,97.0,0.0,7134.599999999999,3.0,28.0,66.0,95.0,3.0
12,62935,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62935,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62950,1,1,5089.0,5068.0,1486.0,1454.0,206.0,14870.7,353.0,379.0,513.0,1448.0,560.0
12,62950,1,2,5103.0,5103.0,1486.0,1458.0,210.0,14879.8,286.0,450.0,512.0,1458.0,496.0
12,62968,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62968,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,62976,1,1,2401.0,2401.0,702.0,686.0,100.0,14989.5,232.0,166.0,188.0,686.0,332.0
12,62976,1,2,2401.0,2401.0,700.0,686.0,110.0,15055.9,198.0,210.0,168.0,686.0,308.0
12,62984,1,1,126.0,126.0,19.0,18.0,0.0,0.0,4.0,3.0,11.0,18.0,4.0
12,62984,1,2,126.0,126.0,19.0,18.0,0.0,0.0,2.0,6.0,10.0,18.0,2.0
12,63008,1,1,1498.0,1498.0,438.0,428.0,12.0,14677.599999999999,58.0,132.0,226.0,428.0,70.0
12,63008,1,2,1498.0,1498.0,438.0,428.0,18.0,14723.0,56.0,150.0,204.0,428.0,74.0
12,63024,1,1,994.0,994.0,290.0,284.0,22.0,14904.3,90.0,80.0,92.0,284.0,112.0
12,63024,1,2,987.0,987.0,290.0,282.0,34.0,14961.0,72.0,90.0,86.0,282.0,106.0
