,District Code,District Name,Zip Code
908,61820,DEL NORTE COUNTY UNIFIED,     
1756,63412,DELANO JOINT UNION HIGH,     
1743,63404,DELANO UNION ELEMENTARY,     
4856,75366,DELHI UNIFIED,     
9903,70227,DELPHIC ELEMENTARY,     
6644,67413,DELTA ELEMENTARY CHARTER,95612
10354,71068,DENAIR UNIFIED,     
6098,67041,DESERT CENTER UNIFIED,     
2196,64246,DESERT SANDS CHARTER,93534
6100,67058,DESERT SANDS UNIFIED,     
6954,10363,DESERT TRAILS PREPARATORY ACADEMY,92301
9024,69047,DESIGN TECH HIGH,94010
1761,63420,DI GIORGIO ELEMENTARY,     
7659,68049,DIEGO HILLS CHARTER,92115
7564,67983,DIEGO SPRINGS ACADEMY,91910
7765,68163,DIEGO VALLEY CHARTER,92021
10901,75531,DINUBA UNIFIED,     
7644,68023,DISCOVERY CHARTER,91910
9219,10439,DISCOVERY CHARTER II,95123
2886,64733,DISCOVERY CHARTER PREPARATORY SCHOOL #2,91342
4540,65318,DIXIE ELEMENTARY,     
9980,70532,DIXON MONTESSORI CHARTER,95620
9978,70532,DIXON UNIFIED,     
4849,75317,DOS PALOS ORO LOMA JOINT UNIFIED,     
10671,71696,DOUGLAS CITY ELEMENTARY,     
2396,64451,DOWNEY UNIFIED,     
265,61259,DOWNTOWN CHARTER ACADEMY,94606
