School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
TULARCITOS ELEMENTARY,Carmel Unified,607530,6053,,5,89,,328,,80,,24,20.92
TULARE CITY COMMUNITY DAY,Tulare City,639870,6107,0,0,7,0,2,0,0,,1,9
TULARE COUNTY COMMUNITY,Tulare County Office of Education,691045,6107,0,0,58,2,3,0,0,,4,15.75
TULARE COUNTY COURT,Tulare County Office of Education,691045,6107,6,0,72,4,12,0,1,,8,11.88
TULARE SUPPORT,Tulare City,639870,6107,0,0,5,1,4,0,0,,1,10
TULARE TECHNICAL PREPARATORY HIGH,Tulare Joint Union High,639930,6107,,,41,8,5,,,,3.1,17.42
TULARE UNION HIGH,Tulare Joint Union High,639930,6107,13,29,1191,59,381,3,15,,76.35,22.15
TULARE WESTERN HIGH,Tulare Joint Union High,639930,6107,8,28,1472,70,317,1,22,,76.49,25.08
TULE CONTINUATION HIGH,Alpaugh Unified,602010,6107,0,0,1,0,0,0,0,,0.66,1.52
TULE ELK PARK CHILDREN CENTER,San Francisco Unified,634410,6075,,,,,,,,,,
TULELAKE BASIN ELEMENTARY,Tulelake Basin Joint Unified,639940,6093,1,,194,2,34,,5,,13.3,17.74
TULELAKE CONTINUATION HIGH,Tulelake Basin Joint Unified,639940,6093,0,0,6,0,2,0,0,,0.5,16
TULELAKE HIGH,Tulelake Basin Joint Unified,639940,6093,,,145,,56,,4,,13.06,15.7
TULITA ELEMENTARY,Redondo Beach Unified,600032,6037,3,56,95,10,286,,50,,20,25
TULLY C. KNOLES,Lincoln Unified,621690,6077,5,61,405,88,131,9,21,,31,23.23
TULSA STREET ELEMENTARY,Los Angeles Unified,622710,6037,2,58,311,18,99,1,25,,22,23.36
TUMBLEWEED ELEMENTARY,Palmdale Elementary,629580,6037,3,5,765,174,40,3,14,,39.5,25.42
TUNNELL (MARTIN LUTHER) ELEMENTARY,Santa Maria-Bonita,605580,6083,3,26,738,5,43,,24,,37,22.68
TUOLUMNE COUNTY CAL-SAFE PROGRAM,Tuolumne County Superintendent of Schools,691046,6109,0,0,0,0,0,0,0,,,
TUOLUMNE COUNTY COMMUNITY/ISP,Tuolumne County Superintendent of Schools,691046,6109,1,0,5,0,18,0,1,,3,8.33
TUOLUMNE COUNTY SPECIAL EDUCATION,Tuolumne County Superintendent of Schools,691046,6109,3,,14,,38,1,4,,8.3,7.23
TUOLUMNE COUNTY SPECIAL EDUCATION PRESCHOOL,Tuolumne County Superintendent of Schools,691046,6109,,,,,,,,,,
TUOLUMNE ELEMENTARY,Modesto City Elementary,625130,6099,,10,535,5,18,,29,,24,24.88
TURLOCK HIGH,Turlock Unified,600158,6099,20,80,1324,48,808,6,54,,102,22.94
TURLOCK JUNIOR HIGH,Turlock Unified,600158,6099,11,80,653,27,485,9,33,,52.9,24.54
TURNER ACADEMY AT TOKAY COLONY,Lodi Unified,622230,6077,0,1,3,7,13,0,1,,3.15,7.94
TURNER ELEMENTARY,Antioch Unified,602850,6013,3,40,302,127,52,8,20,,21,26.29
TURNER ELEMENTARY,Fresno Unified,614550,6019,1,173,343,88,23,2,20,,26,25
TURTLE BAY,Redding Elementary,632040,6089,24,25,124,17,595,2,59,,32,26.44
TURTLE ROCK ELEMENTARY,Irvine Unified,684500,6059,,463,81,8,223,2,87,,29.2,29.59
TURTLEBACK ELEMENTARY,Poway Unified,631530,6073,1,144,100,14,261,,71,,25.2,23.45
TUSCANY HILLS ELEMENTARY,Lake Elsinore Unified,600027,6065,,25,191,29,432,,68,,30.5,24.43
TUSTIN CONNECT,Tustin Unified,640150,6059,0,2,15,0,13,0,1,,1,31
TUSTIN CONNECT CENTER,Tustin Unified,640150,6059,,5,11,2,35,,3,,2,28
TUSTIN HIGH,Tustin Unified,640150,6059,5,156,1794,61,248,21,31,,91.15,25.41
TUSTIN MEMORIAL ELEMENTARY,Tustin Unified,640150,6059,1,253,95,4,221,,36,,21,29.05
TUSTIN RANCH ELEMENTARY,Tustin Unified,640150,6059,1,138,225,47,174,1,46,,21.5,29.4
TWAIN ELEMENTARY,Long Beach Unified,622500,6037,,81,244,85,123,9,66,,22,27.64
TWAIN HARTE,Twain Harte,640200,6109,3,2,37,,203,3,6,,13.3,19.1
TWAIN HIGH,San Diego Unified,634320,6073,2,17,119,31,37,4,20,,27.8,8.27
TWEEDY ELEMENTARY,Los Angeles Unified,622710,6037,1,1,680,,19,3,1,,31,22.74
TWELVE BRIDGES ELEMENTARY,Western Placer Unified,642140,6061,5,46,48,10,500,2,10,,28.1,22.1
TWELVE BRIDGES MIDDLE,Western Placer Unified,642140,6061,15,74,122,30,499,10,15,,34.5,22.17
TWENTIETH STREET ELEMENTARY,Los Angeles Unified,622710,6037,,1,581,26,8,,2,,26,23.77
TWENTY-EIGHTH STREET ELEMENTARY,Los Angeles Unified,622710,6037,1,1,739,20,11,,5,,34,22.85
TWENTY-FOURTH STREET ELEMENTARY,Los Angeles Unified,622710,6037,3,5,555,82,16,2,6,,30,22.3
TWENTYNINE PALMS ELEMENTARY,Morongo Unified,625860,6071,2,27,141,61,315,7,35,,24.68,23.82
TWENTYNINE PALMS HIGH,Morongo Unified,625860,6071,7,28,212,92,383,13,53,,33.06,23.84
TWENTYNINE PALMS JUNIOR HIGH,Morongo Unified,625860,6071,1,16,165,56,213,5,32,,19.56,24.95
TWILA REID ELEMENTARY,Savanna Elementary,636030,6059,1,144,422,29,56,6,30,,28,24.57
TWIN CREEKS ELEMENTARY,San Ramon Valley Unified,635130,6013,,185,90,17,204,,73,,25.1,22.67
TWIN HILLS CHARTER MIDDLE,Twin Hills Union Elementary,640230,6097,,2,59,2,222,,28,,16,19.56
TWIN LAKES ELEMENTARY,San Juan Unified,634620,6067,1,8,77,14,391,3,33,,19,27.74
TWIN LAKES ELEMENTARY,Mountain View Elementary,626190,6037,,28,384,,,,3,,16.2,25.62
TWIN OAKS ELEMENTARY,Rocklin Unified,600013,6061,,62,70,11,315,3,27,,20,24.4
TWIN OAKS ELEMENTARY,San Marcos Unified,634880,6073,2,33,415,11,202,2,,,29,22.93
TWIN OAKS HIGH,San Marcos Unified,634880,6073,1,1,113,2,24,0,0,,12.7,11.1
TWIN PALMS CONTINUATION,Palo Verde Unified,629640,6065,0,0,77,9,18,0,2,,6.32,16.77
TWIN PEAKS MIDDLE,Poway Unified,631530,6073,5,99,262,22,692,4,86,,48.3,24.22
TWIN RIDGES HOME STUDY CHARTER,Nevada County Office of Education,691023,6057,2,3,17,7,110,,12,,5,30.2
TWIN RIDGES SPECIAL EDUCATION PRESCHOOL,Twin Ridges Elementary,600012,6057,,,,,,,,,,
TWIN RIVERS CHARTER,Yuba City Unified,643470,6101,18,22,145,15,234,5,13,,,
TWINHILL ELEMENTARY,Alvord Unified,602430,6065,2,8,485,11,24,2,4,,20.4,26.27
TWO BUNCH PALMS ELEMENTARY,Palm Springs Unified,629550,6065,6,3,722,34,61,,9,,35,23.86
TWO HUNDRED THIRTY-SECOND PLACE,Los Angeles Unified,622710,6037,,103,240,33,28,10,14,,19,22.53
TWO RIVERS ELEMENTARY,Natomas Unified,600036,6067,2,103,279,84,153,5,72,,31,22.52
TWO ROCK ELEMENTARY,Two Rock Union,640260,6097,,1,73,1,75,3,13,,8,20.75
TYLER SKILLS ELEMENTARY,Stockton Unified,638010,6077,12,33,268,80,53,8,24,,15.7,30.45
TYRRELL ELEMENTARY,Hayward Unified,616740,6001,3,48,615,34,10,19,6,,28.75,25.57
UCLA COMMUNITY K-12,Los Angeles Unified,622710,6037,6,154,775,22,21,,5,,49.33,19.93
UKIAH HIGH,Ukiah Unified,640300,6045,71,29,764,20,686,3,28,,75.75,21.14
UKIAH INDEPENDENT STUDY ACADEMY,Ukiah Unified,640300,6045,5,1,30,2,79,,2,,4.75,25.05
ULLOA ELEMENTARY,San Francisco Unified,634410,6075,,420,24,3,26,3,46,,21,24.86
ULYSSES GRANT ELEMENTARY,Colton Joint Unified,609390,6071,1,3,629,19,21,,1,,28,24.07
ULYSSES S. GRANT SENIOR HIGH,Los Angeles Unified,622710,6037,3,65,1092,55,646,3,9,,83.5,22.43
UNCHARTED SHORES ACADEMY,Del Norte County Office of Education,691063,6015,16,2,27,,89,,14,,8.4,17.62
UNION AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,1,25,1083,16,15,,1,,53,21.53
UNION ELEMENTARY,Union Joint Elementary,640410,6041,,,3,,9,,,,1,12
UNION HILL ELEMENTARY,Union Hill Elementary,640380,6057,5,6,47,1,449,3,43,,23.67,23.41
UNION HILL MIDDLE,Union Hill Elementary,640380,6057,,,3,,107,,5,,4.97,23.14
UNION HOUSE ELEMENTARY,Elk Grove Unified,612330,6067,13,262,216,215,36,54,67,,35,24.66
UNION MIDDLE,Union Elementary,640320,6085,2,218,134,4,571,3,82,,44.15,22.97
UNION MINE HIGH,El Dorado Union High,612070,6017,15,12,202,8,741,3,72,,46.64,22.58
UNION STREET CHARTER,Arcata Elementary,603000,6023,1,1,7,,82,,10,,6,16.83
UNITED FOR SUCCESS ACADEMY,Oakland Unified,628050,6001,,30,230,74,2,9,4,,19.1,18.27
UNIVERSITY CENTER PRESCHOOL,Conejo Valley Unified,609640,6111,,,,,,,,,,
UNIVERSITY CITY HIGH,San Diego Unified,634320,6073,4,304,645,61,646,1,138,,69.82,25.77
UNIVERSITY ELEMENTARY AT LA FIESTA,Cotati-Rohnert Park Unified,609940,6097,0,3,66,1,68,0,36,,8,21.75
UNIVERSITY HEIGHTS MIDDLE,Riverside Unified,633150,6065,6,26,610,67,62,4,26,,37.07,21.61
UNIVERSITY HIGH,Irvine Unified,684500,6059,6,1269,215,57,888,6,117,,99.56,25.69
UNIVERSITY HIGH,Fresno Unified,614550,6019,3,153,114,8,162,1,33,,20.3,23.35
UNIVERSITY HIGH SCHOOL CHARTER,Los Angeles Unified,622710,6037,4,138,880,413,187,7,29,,71.5,23.19
UNIVERSITY PARK ELEMENTARY,Irvine Unified,684500,6059,,246,58,22,204,,51,,20,29.05
UNIVERSITY PARK ELEMENTARY,Salinas City Elementary,633930,6053,,15,466,8,39,,13,,24,22.54
UNIVERSITY PREPARATION CHARTER SCHOOL AT CSU CHANNEL ISLANDS,Pleasant Valley,630990,6111,7,32,547,22,133,5,15,,34.02,22.37
UNIVERSITY PREPARATORY,Victor Valley Union High,636972,6071,7,119,744,87,141,8,19,,36.2,31.08
UNIVERSITY PREPARATORY,Shasta Union High,636600,6089,4,70,105,6,698,,104,,45.14,21.87
UNIVERSITY PREPARATORY ACADEMY CHARTER,Santa Clara County Office of Education,691035,6085,,257,178,55,113,1,12,,30.6,20.13
UNIVERSITY PREPARATORY HIGH,Tulare County Office of Education,691045,6107,,16,106,2,107,3,4,,11.3,21.06
UNIVERSITY PREPARATORY VALUE HIGH,Los Angeles Unified,622710,6037,0,15,176,2,1,0,12,,10.2,20.2
UNSWORTH (EDITH) ELEMENTARY,Downey Unified,611460,6037,1,12,637,18,20,,2,,28,24.64
UPLAND ELEMENTARY,Upland Unified,600016,6071,1,17,392,33,78,2,8,,21.05,25.23
UPLAND HIGH,Upland Unified,600016,6071,16,257,1825,325,811,18,61,,138.85,23.86
UPLAND JUNIOR HIGH,Upland Unified,600016,6071,5,47,513,85,88,2,12,,37.07,20.29
UPLIFT MONTEREY,Bradley Union Elementary,605730,6053,5,5,27,3,85,,15,,3.5,40
UPPER LAKE COMMUNITY DAY,Upper Lake Unified,601442,6033,0,0,0,0,0,0,0,,,
UPPER LAKE ELEMENTARY,Upper Lake Unified,601442,6033,33,5,111,,197,,9,,15.5,22.9
UPPER LAKE HIGH,Upper Lake Unified,601442,6033,24,3,89,3,147,,24,,13,22.31
UPPER LAKE MIDDLE,Upper Lake Unified,601442,6033,22,2,52,4,87,,2,,9,18.78
URBAN CORPS OF SAN DIEGO COUNTY CHARTER,Mono County Office of Education,691052,6073,0,17,122,77,60,1,3,,11.1,25.23
URBAN DISCOVERY ACADEMY CHARTER,San Diego Unified,634320,6073,,14,172,28,227,2,42,,24,20.21
URBAN MONTESSORI CHARTER,Alameda County Office of Education,691051,6001,2,27,96,75,115,0,59,,11,34
URBAN PROMISE ACADEMY,Oakland Unified,628050,6001,2,23,290,35,12,1,7,,21.5,17.21
URBITA ELEMENTARY,San Bernardino City Unified,634170,6071,2,10,458,12,21,1,19,,21,24.9
USC COLLEGE PREP SANTA ANA CAMPUS,Orange County Department of Education,691024,6059,0,1,118,0,2,1,0,,5,24.4
UTAH STREET ELEMENTARY,Los Angeles Unified,622710,6037,2,9,440,6,5,,1,,24,19.29
VACA PENA MIDDLE,Vacaville Unified,640590,6095,5,55,285,72,273,9,74,,36.3,21.29
VACAVILLE HIGH,Vacaville Unified,640590,6095,21,99,604,97,975,15,92,,84.2,22.6
VAIL ELEMENTARY,Temecula Valley Unified,600028,6065,2,49,319,34,116,3,38,,24,23.38
VAIL HIGH (CONTINUATION),Montebello Unified,625470,6037,0,2,318,2,1,0,0,,12.54,25.76
VAIL RANCH MIDDLE,Temecula Valley Unified,600028,6065,7,107,263,30,496,1,101,,42.73,23.52
VAL VERDE ACADEMY,Val Verde Unified,691135,6065,0,2,56,15,12,0,1,,4.1,20.98
VAL VERDE ELEMENTARY,Val Verde Unified,691135,6065,6,11,738,51,28,2,10,,35,24.17
VAL VERDE HIGH,Val Verde Unified,691135,6065,1,2,279,80,18,2,8,,23,16.96
VAL VERDE STUDENT SUCCESS ACADEMY,Val Verde Unified,691135,6065,0,0,8,11,0,0,0,,4,4.75
VALADEZ MIDDLE SCHOOL ACADEMY,Placentia-Yorba Linda Unified,630660,6059,,20,589,11,22,1,8,,29.48,22.08
VALENCIA ACADEMY OF THE ARTS,El Rancho Unified,612180,6037,,1,431,,5,,,,16.5,26.48
VALENCIA ELEMENTARY,Upland Unified,600016,6071,,63,198,8,320,,15,,23.05,26.2
VALENCIA ELEMENTARY,Saddleback Valley Unified,633860,6059,,85,105,4,341,,75,,22,27.73
VALENCIA ELEMENTARY,Pajaro Valley Unified,629490,6087,,12,162,12,351,1,8,,23,23.74
VALENCIA HIGH,Placentia-Yorba Linda Unified,630660,6059,6,566,1660,43,447,10,50,,107.77,25.81
VALENCIA HIGH,William S. Hart Union High,642510,6037,3,528,812,124,1383,3,199,,122.79,24.86
VALENCIA PARK ELEMENTARY,Fullerton Elementary,614730,6059,,19,571,7,18,,5,,22,28.18
VALENCIA PARK ELEMENTARY,San Diego Unified,634320,6073,4,76,256,130,14,2,38,,23,22.61
VALENCIA VALLEY ELEMENTARY,Newhall,627180,6037,2,69,209,14,350,2,57,,28,25.11
VALENTINE ELEMENTARY,San Marino Unified,634860,6037,,300,37,1,151,,78,,27,21
VALENTINE PEYTON ELEMENTARY,Stockton Unified,638010,6077,12,319,367,113,45,11,30,,24.59,36.48
VALERIO STREET ELEMENTARY,Los Angeles Unified,622710,6037,,43,827,31,42,2,11,,39,24.51
VALHALLA ELEMENTARY,Mt. Diablo Unified,626370,6013,,76,125,15,260,3,102,,23,25.26
VALHALLA HIGH,Grossmont Union High,616230,6073,12,91,541,83,1224,8,142,,77.93,26.96
VALIANT ACADEMY OF LOS ANGELES,Acton-Agua Dulce Unified,600001,6037,1,4,21,8,20,,2,,2,28
VALIANT ACADEMY OF SOUTHERN CALIFORNIA,Dehesa Elementary,610710,6073,0,1,23,4,15,0,0,,1.5,28.67
VALIENTE COLLEGE PREPARATORY CHARTER,Los Angeles County Office of Education,691078,6037,0,0,111,1,4,0,0,,6.86,16.91
VALINDA SCHOOL OF ACADEMICS,Hacienda la Puente Unified,616325,6037,1,45,483,6,16,2,5,,24.03,23.22
VALLE DEL SOL ELEMENTARY,Coachella Valley Unified,609070,6065,5,,843,,10,,4,,38,22.68
VALLE LINDO ELEMENTARY,Chula Vista Elementary,608610,6073,,45,353,22,36,1,17,,24,19.75
VALLE VERDE ELEMENTARY,Mt. Diablo Unified,626370,6013,,88,64,5,256,3,81,,18,27.61
VALLE VERDE ELEMENTARY,Greenfield Union,616050,6029,6,34,886,54,56,1,13,,42,25
VALLE VISTA ELEMENTARY,Hemet Unified,616920,6065,3,7,346,19,280,4,29,,32,21.5
VALLE VISTA ELEMENTARY,Central Elementary,607950,6071,,17,221,27,154,6,16,,18,24.5
VALLE VISTA ELEMENTARY,Mount Pleasant Elementary,626400,6085,2,131,177,12,20,11,19,,17.5,21.26
VALLECITO CONTINUATION HIGH,Bret Harte Union High,605940,6009,0,0,2,0,15,0,1,,1.99,9.05
VALLECITO ELEMENTARY,Dixie Elementary,611220,6041,1,42,66,5,345,4,30,,21.65,22.77
VALLECITOS ELEMENTARY,Vallecitos Elementary,640710,6073,,,180,,22,,3,,10,20.5
VALLEJO ADULT TRANSITION,Vallejo City Unified,640740,6095,,,,,,,,,1,0
VALLEJO CHARTER,Vallejo City Unified,640740,6095,,69,167,126,112,6,36,,17,30.35
VALLEJO HIGH,Vallejo City Unified,640740,6095,8,254,732,469,68,35,46,,64.88,24.85
VALLEJO MILL ELEMENTARY,Fremont Unified,614400,6001,,214,162,15,112,5,18,,21,25.05
VALLEMAR ELEMENTARY,Pacifica,620460,6081,1,69,128,5,235,1,85,,21,24.95
VALLEY ACADEMY,Imperial County Office of Education,691010,6025,0,1,196,2,8,0,2,,8.65,24.16
VALLEY ACADEMY OF ARTS AND SCIENCES,Los Angeles Unified,622710,6037,7,126,678,49,274,5,24,,47.51,24.48
VALLEY ALTERNATIVE HIGH (CONTINUATION),Hacienda la Puente Unified,616325,6037,0,0,75,2,5,0,1,,7.4,11.22
VALLEY ATWATER COMMUNITY,Merced County Office of Education,691020,6047,0,2,58,6,4,0,0,,4.68,14.96
VALLEY CENTER ELEMENTARY,Valley Center-Pauma Unified,600069,6073,43,5,305,6,169,1,27,,24.35,22.83
VALLEY CENTER HIGH,Valley Center-Pauma Unified,600069,6073,110,29,542,5,439,4,25,,49.57,23.28
VALLEY CENTER MIDDLE,Valley Center-Pauma Unified,600069,6073,93,7,484,3,289,1,37,,37.1,24.64
VALLEY CENTER PREP,Valley Center-Pauma Unified,600069,6073,10,0,23,1,20,0,6,,2,30
VALLEY CENTER PRIMARY,Valley Center-Pauma Unified,600069,6073,41,4,278,2,157,1,36,,22.9,22.66
VALLEY CHARTER ELEMENTARY,Los Angeles Unified,622710,6037,,24,93,2,126,,18,,12,21.92
VALLEY CHARTER HIGH,Stanislaus County Office of Education,691041,6099,2,4,51,3,78,1,10,,8.5,17.53
VALLEY CHARTER MIDDLE,Los Angeles Unified,622710,6037,,13,144,6,86,1,3,,9.07,27.89
VALLEY CHILDREN'S HOSPITAL,Golden Valley Unified,600068,6039,0,0,6,0,2,0,0,,1,8
VALLEY COMMUNITY DAY,Hughson Unified,600060,6099,0,1,6,0,1,0,0,,1,8
VALLEY COMMUNITY DAY,Hacienda la Puente Unified,616325,6037,0,0,4,1,1,0,0,,2,3
VALLEY ELEMENTARY,Yucaipa-Calimesa Joint Unified,643560,6071,2,8,274,6,170,,1,,20,23.05
VALLEY ELEMENTARY,Poway Unified,631530,6073,,34,435,16,176,1,61,,28.1,25.73
VALLEY HIGH,Elk Grove Unified,612330,6067,4,370,680,309,50,51,54,,77.98,19.47
VALLEY HIGH,Mountain Valley Unified,600018,6105,1,0,1,0,2,0,2,,1,6
VALLEY HIGH,Delano Joint Union High,610860,6029,,6,182,1,3,,1,,11.42,16.9
VALLEY HIGH,Santa Ana Unified,635310,6059,2,44,2138,4,10,2,4,,100.27,21.98
VALLEY HIGH (CONTINUATION),Escondido Union High,612910,6073,2,3,221,10,23,0,0,,18.49,14.01
VALLEY HIGH (CONTINUATION),Dublin Unified,600019,6001,0,7,24,10,23,0,8,,8.1,8.89
VALLEY HOME ELEMENTARY,Valley Home Joint Elementary,640800,6099,,2,74,2,92,,5,,8,21.88
VALLEY LIFE CHARTER,Tulare County Office of Education,691045,6107,7,15,261,8,341,,32,,31.9,20.82
VALLEY LOS BANOS COMMUNITY,Merced County Office of Education,691020,6047,0,0,67,2,2,2,2,,4.93,15.21
VALLEY MERCED COMMUNITY,Merced County Office of Education,691020,6047,0,0,186,14,33,0,2,,10.25,22.93
VALLEY MIDDLE,Carlsbad Unified,607500,6073,3,33,356,9,579,2,62,,41.21,25.33
VALLEY OAK CHARTER,Ojai Unified,628270,6111,,1,12,,57,,4,,3,24.67
VALLEY OAK CONTINUATION HIGH,Live Oak Unified,622050,6101,1,0,12,0,5,0,0,,1.18,15.25
VALLEY OAK ELEMENTARY,Clovis Unified,609030,6019,3,50,178,15,254,,26,,19,27.68
VALLEY OAK HIGH,Napa Valley Unified,626640,6055,2,,121,3,37,1,6,,11,15.45
VALLEY OAK JUNIOR AND SENIOR HIGH,Oakdale Joint Unified,600062,6099,1,0,11,0,19,0,0,,1.2,25.83
VALLEY OAK MIDDLE,Visalia Unified,641160,6107,9,24,678,7,164,2,16,,35.55,25.32
VALLEY OAKS,San Juan Unified,634620,6067,0,0,1,3,3,1,0,,1,8
VALLEY OAKS CHARTER,Kern County Office of Education,691012,6029,13,18,276,26,738,2,62,,49.3,23.02
VALLEY OAKS ELEMENTARY,Galt Joint Union Elementary,614790,6067,1,9,478,1,60,4,2,,28.15,19.72
VALLEY OAKS ELEMENTARY (ALTERNATIVE),Petaluma City Elementary,630230,6097,0,0,0,0,1,0,0,,0.1,10
VALLEY OAKS HIGH (ALTERNATIVE),Petaluma Joint Union High,630250,6097,1,4,15,0,44,0,3,,4.1,16.34
VALLEY OF ENCHANTMENT ELEMENTARY,Rim of the World Unified,632610,6071,1,1,225,11,331,,17,,24,24.42
VALLEY ROP,Valley ROP,600097,6019,0,0,0,0,0,0,0,,,
VALLEY SPRINGS ELEMENTARY,Calaveras Unified,606870,6009,2,4,106,3,332,,32,,18,26.61
VALLEY TEEN RANCH COMMUNITY DAY,Golden Valley Unified,600068,6039,0,0,9,4,7,0,0,,2,10
VALLEY VIEW ACAD OF TECH AND CREATIVE LRNG (TK-6),Duarte Unified,611520,6037,1,41,237,19,62,1,25,,15,25.73
VALLEY VIEW CHARTER PREP,New Jerusalem Elementary,627030,6077,5,43,66,40,213,2,46,,18.28,22.7
VALLEY VIEW COMMUNITY ELEMENTARY,Sulphur Springs Union,638220,6037,2,37,372,36,90,1,12,,22,25
VALLEY VIEW ELEMENTARY,Los Angeles Unified,622710,6037,0,5,44,9,148,0,23,,10,22.9
VALLEY VIEW ELEMENTARY,Westside Union Elementary,642120,6037,2,26,365,85,304,2,39,,31,26.55
VALLEY VIEW ELEMENTARY,Nuview Union,627780,6065,2,6,392,11,125,1,19,,22,25.27
VALLEY VIEW ELEMENTARY,Alvord Unified,602430,6065,2,8,400,9,45,1,12,,21.05,22.66
VALLEY VIEW ELEMENTARY,Coachella Valley Unified,609070,6065,,,715,,3,,3,,32.25,22.36
VALLEY VIEW ELEMENTARY,Glendale Unified,615240,6037,1,152,46,6,190,,22,,15,27.8
VALLEY VIEW ELEMENTARY,Rocklin Unified,600013,6061,,42,45,5,273,1,32,,17.41,22.86
VALLEY VIEW ELEMENTARY,Pleasanton Unified,600020,6001,2,83,253,6,266,1,41,,28,23.29
VALLEY VIEW ELEMENTARY,West Contra Costa Unified,632550,6013,1,75,85,59,102,4,10,,15,22.4
VALLEY VIEW HIGH,Moreno Valley Unified,625800,6065,10,146,1721,390,280,22,34,,104.23,24.97
VALLEY VIEW HIGH (CONTINUATION),Chaffey Joint Union High,608160,6071,2,4,356,30,44,2,8,,26.04,17.13
VALLEY VIEW MIDDLE,Mt. Diablo Unified,626370,6013,,127,316,15,305,7,66,,37.72,22.16
VALLEY VIEW MIDDLE,Simi Valley Unified,636840,6111,2,152,383,7,659,3,41,,46.1,27.05
VALLEY VISTA ELEMENTARY,Chula Vista Elementary,608610,6073,1,39,494,15,58,2,13,,26.6,23.38
VALLEY VISTA ELEMENTARY,Petaluma City Elementary,630230,6097,4,3,149,3,143,1,9,,13,24
VALLEY VISTA HIGH (CONTINUATION),Huntington Beach Union High,618060,6059,9,15,147,10,69,3,3,,15,17.07
VALLEYDALE ELEMENTARY,Azusa Unified,603600,6037,1,7,262,4,9,,1,,10,28.4
VALMONTE ELEMENTARY,Palos Verdes Peninsula Unified,629700,6037,,,,,,,,,,
VALOR ACADEMY ELEMENTARY,Los Angeles Unified,622710,6037,2,3,71,3,1,0,2,,4.8,17.08
VALOR ACADEMY HIGH,Los Angeles Unified,622710,6037,,10,423,7,9,,6,,25.44,17.89
VALOR ACADEMY MIDDLE,Los Angeles Unified,622710,6037,,12,460,4,12,,1,,21.3,22.96
VAN ALLEN ELEMENTARY,Escalon Unified,612840,6077,1,4,142,2,194,,6,,15.9,21.95
VAN BUREN ELEMENTARY,Stockton Unified,638010,6077,3,59,367,119,12,1,10,,17.99,31.74
VAN BUREN ELEMENTARY,Placentia-Yorba Linda Unified,630660,6059,,134,232,20,280,1,40,,23,30.74
VAN BUREN ELEMENTARY,Jurupa Unified,619260,6065,,4,540,,25,,9,,25,23.12
VAN DEENE AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,2,57,241,30,6,11,3,,17,20.59
VAN DUZEN ELEMENTARY,Southern Trinity Joint Unified,637630,6105,1,,5,,55,,7,,5.3,12.83
VAN GOGH CHARTER,Los Angeles Unified,622710,6037,1,61,188,15,212,2,30,,20,25.45
VAN NESS AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,,34,168,8,11,,7,,14,16.29
VAN NUYS ELEMENTARY,Los Angeles Unified,622710,6037,,9,594,17,21,1,5,,30,21.57
VAN NUYS MIDDLE,Los Angeles Unified,622710,6037,1,55,900,39,87,1,9,,43.25,25.25
VAN NUYS SENIOR HIGH,Los Angeles Unified,622710,6037,6,528,1667,114,271,6,25,,111,23.58
VANALDEN AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,,18,329,15,66,1,13,,18,24.56
VANDALIA ELEMENTARY,Porterville Unified,600064,6107,92,13,415,5,63,6,11,,25,24.2
VANDEN HIGH,Travis Unified,639630,6095,12,310,381,242,568,23,142,,67.72,24.78
VANDENBERG MIDDLE,Lompoc Unified,622410,6083,6,29,441,36,272,3,44,,37.61,22.1
VANG PAO ELEMENTARY,Fresno Unified,614550,6019,3,169,638,35,8,1,8,,32,26.94
VANGUARD LEARNING CENTER,Compton Unified,609620,6037,2,1,91,123,1,1,1,,11.11,19.8
VANGUARD PREPARATORY,Apple Valley Unified,600017,6071,5,14,472,43,638,2,8,,44.3,26.68
VANNOY ELEMENTARY,Castro Valley Unified,607800,6001,1,132,113,16,150,,52,,18,25.78
VANTAGE POINT CHARTER,Penn Valley Union Elementary,601427,6057,3,1,2,0,36,0,1,,1.14,37.72
VARGAS ELEMENTARY,Sunnyvale,638460,6085,13,93,238,4,72,2,70,,25.2,19.52
VASQUEZ HIGH,Acton-Agua Dulce Unified,600001,6037,5,3,138,5,197,,11,,18,19.94
VAUGHN NEXT CENTURY LEARNING CENTER,Los Angeles Unified,622710,6037,,11,2863,17,12,,3,,131.63,22.08
VEJAR ELEMENTARY,Pomona Unified,631320,6037,2,34,879,30,10,1,3,,40.6,23.62
VEJAR ELEMENTARY,Walnut Valley Unified,641280,6037,,329,180,7,44,6,23,,22,26.77
VENA AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,,42,480,8,32,,5,,25,22.68
VENADO MIDDLE,Irvine Unified,684500,6059,1,309,84,18,192,,54,,26.98,24.39
VENCIL BROWN ELEMENTARY,Roseville City Elementary,633600,6061,1,58,69,11,246,4,30,,18,23.28
VENETIA VALLEY K-8,San Rafael City Elementary,635090,6041,,33,606,10,62,,1,,29,24.55
