School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACADEMY,Los Angeles Unified,622710,6037,1,,573,24,2,,,,31.35,19.14
ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH SERVICES ACADEMY,Los Angeles Unified,622710,6037,,1,392,59,5,2,3,,25,18.48
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,Los Angeles Unified,622710,6037,,2,459,89,1,,,,32.87,16.76
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,Los Angeles Unified,622710,6037,4,9,474,16,1,,1,,25.95,19.46
ALLIANCE TED K. TAJIMA HIGH,Los Angeles Unified,622710,6037,,6,277,2,1,,,,17.9,15.98
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,Los Angeles Unified,622710,6037,4,17,323,5,3,1,,,18.1,19.5
ALLISON ELEMENTARY,Pomona Unified,631320,6037,1,3,276,4,15,,2,,13,23.15
ALMA PRESCHOOL,Castro Valley Unified,607800,6001,,,,,,,,,,
ALMADEN ELEMENTARY,San Jose Unified,634590,6085,,12,282,5,26,4,14,,13.65,25.13
ALMANOR HIGH (CONTINUATION),Plumas Unified,631170,6063,1,0,0,0,2,0,0,,,
ALMERIA MIDDLE,Fontana Unified,613920,6071,,26,663,72,50,1,6,,36.57,22.37
ALMOND ACRES CHARTER ACADEMY,San Miguel Joint Union,635010,6079,,1,62,,203,,14,,14,20
ALMOND ELEMENTARY,Los Altos Elementary,622650,6085,1,179,81,2,213,2,63,,22,24.59
ALMOND ELEMENTARY,Fontana Unified,613920,6071,1,7,495,14,18,,5,,22.78,23.71
ALMOND GROVE ELEMENTARY,Oakley Union Elementary,628080,6013,2,67,136,41,196,1,6,,21,21.38
ALMOND TREE MIDDLE,Delano Union Elementary,610890,6029,1,56,573,2,4,3,3,,29,22.14
ALMONDALE ELEMENTARY,Rosedale Union Elementary,633480,6029,2,37,237,12,357,1,26,,31,21.68
ALOHA ELEMENTARY,ABC Unified,601620,6037,1,21,209,82,29,14,16,,14,26.57
ALONDRA MIDDLE,Paramount Unified,629850,6037,,17,854,56,10,20,9,,40,24.15
