School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
SAN MIGUEL ELEMENTARY,California,Mark West Union Elementary,624000,5,17,130,4,254,–,35,†
SAN ONOFRE ELEMENTARY,California,Fallbrook Union Elementary,613500,–,5,198,37,345,–,27,†
SAN PASCUAL ELEM SCI TECH ENGR ARTS AND MATH (STEAM) MAGNET,California,Los Angeles Unified,622710,–,19,260,4,12,–,3,†
SAN PASQUAL ACADEMY,California,San Diego County Office of Education,691030,9,1,32,22,1,1,6,†
SAN PASQUAL HIGH,California,Escondido Union High,612910,5,121,1372,31,648,7,28,†
SAN PASQUAL MIDDLE,California,San Pasqual Valley Unified,635070,74,–,73,–,4,–,25,†
SAN PASQUAL UNION ELEMENTARY,California,San Pasqual Union Elementary,635040,1,14,146,10,341,–,41,†
SAN PASQUAL VALLEY ELEMENTARY,California,San Pasqual Valley Unified,635070,169,–,152,5,5,–,5,†
SAN PASQUAL VALLEY HIGH,California,San Pasqual Valley Unified,635070,68,–,91,1,6,–,7,†
SAN PASQUAL VOCATIONAL ACADEMY,California,San Pasqual Valley Unified,635070,0,0,0,0,0,0,0,†
SAN PEDRO ELEMENTARY,California,San Rafael City Elementary,635090,1,–,521,–,4,–,–,†
SAN PEDRO SENIOR HIGH,California,Los Angeles Unified,622710,13,104,1711,195,436,20,37,†
SAN PEDRO STREET ELEMENTARY,California,Los Angeles Unified,622710,–,–,714,1,27,–,3,†
SAN RAFAEL ELEMENTARY,California,Pasadena Unified,629940,1,21,303,29,110,–,4,†
SAN RAFAEL HIGH,California,San Rafael City High,635110,2,69,854,11,349,4,5,†
SAN RAMON ELEMENTARY,California,Novato Unified,627720,2,25,92,8,309,3,53,†
SAN RAMON VALLEY HIGH,California,San Ramon Valley Unified,635130,–,172,190,17,1565,–,117,†
SAN VICENTE ELEMENTARY,California,Soledad Unified,637050,–,1,495,–,4,–,1,†
SAN YSIDRO HIGH,California,Sweetwater Union High,638640,11,49,2288,38,19,2,40,†
SAN YSIDRO MIDDLE,California,San Ysidro Elementary,635220,–,6,497,3,7,–,2,†
SANCHEZ (DAVID J.) ELEMENTARY,California,Santa Maria-Bonita,605580,–,8,772,–,7,–,1,†
SANCHEZ (GEORGE I.) ELEMENTARY,California,Garvey Elementary,614940,–,218,212,6,3,–,4,†
SANCHEZ ELEMENTARY,California,San Francisco Unified,634410,3,14,189,13,10,–,17,†
SANDBURG ELEMENTARY,California,San Diego Unified,634320,1,301,83,8,161,1,108,†
SANDBURG MIDDLE,California,Glendora Unified,615270,–,72,468,15,285,1,29,†
SANDIA ELEMENTARY,California,Apple Valley Unified,600017,2,7,578,62,233,6,13,†
SANDPIPER ELEMENTARY,California,Belmont-Redwood Shores Elementary,604530,–,213,39,9,178,–,69,†
SANDRA J. GALLARDO ELEMENTARY,California,Folsom-Cordova Unified,613890,–,198,33,7,286,–,28,†
SANDRA TOVAR MEDEIROS ELEMENTARY,California,Turlock Unified,600158,6,77,330,25,373,2,27,†
SANDY BLUFFS ALTERNATIVE EDUCATION CENTER,California,Sierra Unified,636805,7,–,6,1,23,–,1,†
SANGER ACADEMY CHARTER,California,Sanger Unified,635250,–,26,536,3,41,3,5,†
SANGER HIGH,California,Sanger Unified,635250,9,389,2084,45,336,7,33,†
SANHEDRIN HIGH,California,Willits Unified,642560,6,0,8,0,33,0,3,†
SANKOFA ACADEMY,California,Oakland Unified,628050,–,11,38,232,14,5,17,†
SANTA ANA HIGH,California,Santa Ana Unified,635310,4,17,2814,2,13,2,6,†
SANTA BARBARA CHARTER,California,Santa Barbara Unified,601414,1,11,77,3,187,–,31,†
SANTA BARBARA COMMUNITY ACADEMY,California,Santa Barbara Unified,601414,–,–,294,3,8,–,1,†
SANTA BARBARA COUNTY COMMUNITY,California,Santa Barbara County Office of Education,691034,0,1,25,0,1,0,0,†
SANTA BARBARA COUNTY JUVENILE COURT,California,Santa Barbara County Office of Education,691034,1,–,86,3,11,–,1,†
SANTA BARBARA COUNTY ROP-NORTH,California,Santa Barbara County ROP,600133,–,–,–,–,–,–,–,†
SANTA BARBARA COUNTY ROP-SOUTH,California,Santa Barbara County ROP,600133,0,0,0,0,0,0,0,†
SANTA BARBARA COUNTY SPECIAL EDUCATION,California,Santa Barbara County Office of Education,691034,–,4,100,2,39,–,5,†
SANTA BARBARA JUNIOR HIGH,California,Santa Barbara Unified,601414,3,20,483,14,231,3,5,†
SANTA BARBARA SENIOR HIGH,California,Santa Barbara Unified,601414,16,55,1226,30,768,4,13,†
SANTA CLARA COMMUNITY DAY,California,Santa Clara Unified,635430,0,0,10,0,2,0,0,†
SANTA CLARA COUNTY COMMUNITY,California,Santa Clara County Office of Education,691035,–,4,72,5,7,–,–,†
SANTA CLARA COUNTY COURT,California,Santa Clara County Office of Education,691035,0,3,53,6,3,0,2,†
SANTA CLARA COUNTY ROP-SOUTH,California,Santa Clara County ROP,600137,0,0,0,0,0,0,0,†
SANTA CLARA COUNTY SPECIAL EDUCATION,California,Santa Clara County Office of Education,691035,3,420,542,48,241,9,24,†
SANTA CLARA ELEMENTARY,California,Santa Clara Elementary,635490,–,1,24,–,26,–,5,†
SANTA CLARA HIGH,California,Santa Clara Unified,635430,17,604,692,102,504,8,108,†
SANTA CLARITA ELEMENTARY,California,Saugus Union,635970,1,32,156,15,220,–,7,†
SANTA CLARITA VALLEY INTERNATIONAL,California,William S. Hart Union High,642510,3,16,253,21,487,–,99,†
SANTA CRUZ CITY ELEMENTARY ALTERNATIVE EDUCATION-MONARCH,California,Santa Cruz City Elementary,635590,0,6,34,2,78,0,4,†
SANTA CRUZ COUNTY COMMUNITY,California,Santa Cruz County Office of Education,691036,6,7,312,7,273,–,21,†
SANTA CRUZ COUNTY COURT,California,Santa Cruz County Office of Education,691036,0,0,55,0,3,0,1,†
SANTA CRUZ COUNTY ROP,California,Santa Cruz County ROP,600143,0,0,0,0,0,0,0,†
SANTA CRUZ COUNTY SPECIAL EDUCATION,California,Santa Cruz County Office of Education,691036,–,2,18,4,48,1,6,†
SANTA CRUZ GARDENS ELEMENTARY,California,Soquel Union Elementary,637290,–,4,120,4,180,–,14,†
SANTA CRUZ HIGH,California,Santa Cruz City High,635600,7,32,290,18,626,4,50,†
SANTA FE COMPUTER SCIENCE MAGNET,California,Monrovia Unified,625320,1,43,413,30,68,2,16,†
SANTA FE ELEMENTARY,California,Porterville Unified,600064,3,3,682,–,19,–,10,†
SANTA FE FUNDAMENTAL,California,Baldwin Park Unified,603690,1,40,306,3,3,1,2,†
SANTA FE HIGH,California,Whittier Union High,642480,5,38,2087,43,142,2,4,†
SANTA LUCIA ELEMENTARY,California,King City Union,619680,2,4,670,1,8,–,4,†
SANTA LUCIA MIDDLE,California,Coast Unified,600049,–,1,96,3,57,–,2,†
SANTA MARGARITA ACADEMY,California,Fallbrook Union Elementary,613500,0,0,4,1,1,0,0,†
SANTA MARGARITA ELEMENTARY,California,Atascadero Unified,603300,–,3,53,–,216,–,12,†
SANTA MARGARITA ELEMENTARY,California,Oceanside Unified,628250,5,22,204,70,310,7,57,†
SANTA MARIA HIGH,California,Santa Maria Joint Union High,635670,4,37,2462,12,66,1,9,†
SANTA MONICA ALTERNATIVE (K-8),California,Santa Monica-Malibu Unified,635700,1,5,40,8,133,–,41,†
SANTA MONICA BOULEVARD COMMUNITY CHARTER,California,Los Angeles Unified,622710,–,14,905,9,25,–,–,†
SANTA MONICA HIGH,California,Santa Monica-Malibu Unified,635700,4,228,1029,248,1076,5,234,†
SANTA PAULA HIGH,California,Santa Paula Unified,601421,–,5,1469,1,56,1,2,†
SANTA RITA ELEMENTARY,California,Los Altos Elementary,622650,4,174,68,2,241,–,52,†
SANTA RITA ELEMENTARY,California,Santa Rita Union Elementary,635790,–,–,630,1,19,1,5,†
SANTA ROSA ACADEMY,California,Menifee Union Elementary,624540,7,61,520,80,845,9,53,†
SANTA ROSA ACCELERATED CHARTER,California,Santa Rosa High,635830,–,17,11,3,82,–,14,†
SANTA ROSA CHARTER SCHOOL FOR THE ARTS,California,Santa Rosa Elementary,635810,3,8,92,4,245,–,35,†
SANTA ROSA FRENCH-AMERICAN CHARTER (SRFACS),California,Santa Rosa Elementary,635810,0,21,115,11,313,0,35,†
SANTA ROSA HIGH,California,Santa Rosa High,635830,7,113,773,30,943,8,148,†
SANTA ROSA MIDDLE,California,Santa Rosa High,635830,9,34,340,21,240,3,47,†
SANTA ROSA ROAD ACADEMIC ACADEMY,California,Atascadero Unified,603300,4,5,173,9,176,1,9,†
SANTA ROSA TECHNOLOGY MAGNET,California,Pleasant Valley,630990,3,73,92,3,374,1,30,†
SANTA SUSANA ELEMENTARY,California,Simi Valley Unified,636840,–,7,244,1,61,–,5,†
SANTA SUSANA HIGH,California,Simi Valley Unified,636840,7,214,356,17,595,–,71,†
SANTA TERESA ELEMENTARY,California,Oak Grove Elementary,627810,2,176,252,13,116,4,53,†
SANTA TERESA HIGH,California,East Side Union High,611820,6,567,866,85,568,7,108,†
SANTA YNEZ ELEMENTARY,California,College Elementary,609330,8,1,103,–,41,1,6,†
SANTA YNEZ VALLEY CHARTER,California,College Elementary,609330,6,1,36,–,138,–,14,†
SANTA YNEZ VALLEY UNION HIGH,California,Santa Ynez Valley Union High,635850,10,5,398,2,486,–,38,†
SANTANA HIGH,California,Grossmont Union High,616230,10,43,426,24,958,7,133,†
SANTANA HIGH (CONTINUATION),California,Rowland Unified,633750,0,3,159,2,4,0,2,†
SANTEE ALTERNATIVE,California,Santee,635880,–,–,14,1,16,–,–,†
SANTEE EDUCATION COMPLEX,California,Los Angeles Unified,622710,2,6,1761,122,17,1,14,†
SANTEE ELEMENTARY,California,Franklin-McKinley Elementary,614370,–,57,375,4,3,2,2,†
SANTEE SUCCESS PROGRAM,California,Santee,635880,0,0,0,0,3,0,1,†
SANTIAGO ELEMENTARY,California,Santa Ana Unified,635310,1,26,1097,5,58,3,15,†
SANTIAGO HIGH,California,Garden Grove Unified,614880,2,298,1735,5,34,8,14,†
SANTIAGO HIGH,California,Corona-Norco Unified,609850,13,439,1292,164,1641,10,60,†
SANTIAGO HILLS ELEMENTARY,California,Irvine Unified,684500,–,349,55,4,130,–,67,†
SANTIAGO MIDDLE,California,Orange Unified,628650,1,74,683,17,209,5,31,†
SANTIAGO STEAM MAGNET ELEMENTARY,California,Saddleback Valley Unified,633860,–,34,230,8,104,–,24,†
SARA COUGHLIN ELEMENTARY,California,Los Angeles Unified,622710,–,4,586,21,11,1,6,†
SARAH MCGARVIN INTERMEDIATE,California,Garden Grove Unified,614880,–,653,98,2,30,1,12,†
SARATOGA ELEMENTARY,California,Saratoga Union Elementary,635910,–,107,14,–,177,–,38,†
SARATOGA HIGH,California,Los Gatos-Saratoga Joint Union High,622800,–,821,63,3,354,3,114,†
SARTORETTE CHARTER,California,Cambrian,607140,–,79,129,3,136,–,50,†
SASSARINI ELEMENTARY,California,Sonoma Valley Unified,637200,3,9,277,1,62,3,8,†
SATICOY ELEMENTARY,California,Los Angeles Unified,622710,–,23,228,2,313,3,7,†
SATURN STREET ELEMENTARY,California,Los Angeles Unified,622710,1,3,276,82,11,–,4,†
SAUCELITO ELEMENTARY,California,Saucelito Elementary,635940,–,–,62,2,28,–,2,†
SAUGUS HIGH,California,William S. Hart Union High,642510,2,168,746,52,1285,1,131,†
SAUL MARTINEZ ELEMENTARY,California,Coachella Valley Unified,609070,5,–,1053,–,5,–,12,†
SAVA: SACRAMENTO ACADEMIC AND VOCATIONAL ACADEMY,California,Twin Rivers Unified,601332,17,42,385,198,107,11,27,†
SAVANNA HIGH,California,Anaheim Union High,602630,17,209,1467,64,180,8,47,†
SAVANNAH ELEMENTARY,California,Rosemead Elementary,633570,–,187,174,–,6,–,69,†
SAWTOOTH RIDGE COMMUNITY,California,Mono County Office of Education,691052,0,0,1,0,1,0,1,†
SCALE LEADERSHIP ACADEMY,CALIFORNIA,Acton-Agua Dulce Unified,600001,1,6,35,43,14,1,72,†
SCANDIA ELEMENTARY,California,Travis Unified,639630,3,47,88,55,296,10,70,†
SCANDINAVIAN MIDDLE,California,Fresno Unified,614550,3,143,544,48,53,7,10,†
SCH OF HIST AND DRAMATIC ARTS AT SONIA SOTOMAYOR LRNG ACADS,California,Los Angeles Unified,622710,1,25,273,3,9,–,1,†
SCHAFER PARK ELEMENTARY,California,Hayward Unified,616740,–,50,603,20,20,25,16,†
SCHALLENBERGER ELEMENTARY,California,San Jose Unified,634590,1,42,206,13,231,–,59,†
SCHENDEL ELEMENTARY,California,Delhi Unified,600039,1,4,486,–,34,–,2,†
SCHMITT ELEMENTARY,California,Westminster,642150,3,162,313,2,11,1,4,†
SCHOLAR PLUS ONLINE LEARNING,CALIFORNIA,Perris Union High,630210,0,0,0,0,0,0,0,†
SCHOLARSHIP PREP CHARTER,CALIFORNIA,Orange County Department of Education,691024,–,2,290,8,7,–,–,†
SCHOOL FOR ENTREPRENEURSHIP AND TECHNOLOGY,California,San Diego Unified,634320,–,14,69,10,138,1,21,†
SCHOOL FOR THE VISUAL ARTS AND HUMANITIES,California,Los Angeles Unified,622710,2,42,393,7,6,1,1,†
SCHOOL OF ARTS AND ENTERPRISE,California,SBE - The School of Arts and Enterprise,600136,3,7,543,35,90,6,61,†
SCHOOL OF BUSINESS AND TOURISM AT CONTRERAS LEARNING COMPLEX,California,Los Angeles Unified,622710,–,7,429,6,10,1,–,†
SCHOOL OF ENGINEERING & SCIENCES,California,Sacramento City Unified,633840,2,105,193,97,78,9,22,†
SCHOOL OF EXTENDED EDUCATIONAL OPTIONS,California,Pomona Unified,631320,0,1,227,7,6,0,19,†
SCHOOL OF UNLIMITED LEARNING,California,Fresno Unified,614550,5,7,142,15,15,–,–,†
SCHROEDER ELEMENTARY,California,Westminster,642150,2,177,135,4,279,1,22,†
SCHURR HIGH,California,Montebello Unified,625470,3,215,2517,11,41,4,12,†
SCI TECH ENGR ARTS AND MATH ACAD AT LA PRESA,California,La Mesa-Spring Valley,620250,3,54,625,98,98,9,39,†
SCI TECH ENGR ARTS AND MATH AT LEGACY HIGH SCH COMPLEX,California,Los Angeles Unified,622710,–,–,558,4,6,–,1,†
SCIENCE & TECHNOLOGY ACADEMY AT KNIGHTS LANDING,California,Woodland Joint Unified,643080,2,3,130,4,130,–,7,†
SCIENCE ACADEMY STEM MAGNET,CALIFORNIA,Los Angeles Unified,622710,0,47,25,3,101,0,3,†
SCOBEE CAMP,California,Los Angeles County Office of Education,691078,0,0,0,0,0,0,0,†
SCOTT AVENUE ELEMENTARY,California,East Whittier City Elementary,611850,1,30,444,10,123,2,5,†
SCOTT JOSEPH CAMP,California,Los Angeles County Office of Education,691078,0,0,20,6,1,0,0,†
SCOTT LANE ELEMENTARY,California,Santa Clara Unified,635430,1,63,304,9,32,5,4,†
SCOTT RIVER HIGH,California,Scott Valley Unified,600159,1,0,2,0,6,0,0,†
SCOTT VALLEY COMMUNITY DAY,California,Scott Valley Unified,600159,1,0,2,0,0,0,1,†
SCOTT VALLEY JUNIOR HIGH,California,Scott Valley Unified,600159,19,4,22,2,81,–,13,†
SCOTTS VALLEY HIGH,California,Scotts Valley Unified,600043,4,22,116,2,594,1,80,†
SCOTTS VALLEY MIDDLE,California,Scotts Valley Unified,600043,2,19,84,–,402,–,65,†
SCRIPPS ELEMENTARY,California,San Diego Unified,634320,2,280,67,15,270,–,105,†
SCRIPPS RANCH HIGH,California,San Diego Unified,634320,1,617,363,76,900,1,224,†
SCUDDER KENYON CAMP,California,Los Angeles County Office of Education,691078,0,0,18,8,1,0,0,†
SD GLOBAL VISION ACADEMY,California,San Diego Unified,634320,2,10,148,101,59,–,27,†
SEA VIEW ELEMENTARY,California,Coachella Valley Unified,609070,6,–,488,10,20,–,8,†
SEARLES ELEMENTARY,California,New Haven Unified,626910,5,118,456,36,33,21,28,†
SEASIDE ELEMENTARY,California,Torrance Unified,639420,5,195,101,9,184,2,62,†
SEASIDE HIGH,California,Monterey Peninsula Unified,625530,2,95,755,87,113,33,42,†
SEASIDE MIDDLE,California,Monterey Peninsula Unified,625530,1,49,491,38,52,12,32,†
SEBASTIAN QUESTA ELEMENTARY,California,Lammersville Joint Unified,601410,4,450,122,47,168,3,53,†
SEBASTOPOL INDEPENDENT CHARTER,California,Sebastopol Union Elementary,636180,1,3,32,1,224,–,31,†
SECOND STREET ELEMENTARY,California,Los Angeles Unified,622710,1,–,377,6,8,–,–,†
SEELEY ELEMENTARY,California,Seeley Union Elementary,636210,2,3,299,3,21,–,7,†
SEGERSTROM HIGH,California,Santa Ana Unified,635310,1,182,2180,18,34,3,17,†
SEIAD ELEMENTARY,California,Seiad Elementary,636240,4,0,6,0,5,1,3,†
SELBY LANE ELEMENTARY,California,Redwood City Elementary,632130,–,10,636,2,32,5,5,†
SELECT COMMUNITY DAY (SECONDARY),California,Long Beach Unified,622500,0,0,4,2,1,0,1,†
SELLERS ELEMENTARY,California,Glendora Unified,615270,3,63,202,7,287,1,39,†
SELMA AVENUE ELEMENTARY,California,Los Angeles Unified,622710,0,4,112,10,10,0,6,†
SELMA HERNDON ELEMENTARY,California,Livingston Union,622170,3,99,532,3,22,6,3,†
SELMA HIGH,California,Selma Unified,636270,6,109,1540,3,94,2,4,†
SELMA INDEPENDENT,California,Selma Unified,636270,1,2,140,–,8,–,1,†
SELMA OLINDER ELEMENTARY,California,San Jose Unified,634590,1,27,353,4,7,–,3,†
SEM YETO CONTINUATION HIGH,California,Fairfield-Suisun Unified,613360,4,17,202,101,43,7,15,†
SEMITROPIC ELEMENTARY,California,Semitropic Elementary,636330,1,–,216,2,7,–,–,†
SENECA ELEMENTARY,California,Moreno Valley Unified,625800,1,27,277,103,53,2,33,†
SENTINEL HIGH,California,Waterford Unified,600063,1,1,16,0,12,0,1,†
SEQUOIA ELEMENTARY,California,Sanger Unified,635250,–,204,269,24,51,2,17,†
SEQUOIA ELEMENTARY,California,Manteca Unified,623610,1,19,580,16,102,3,31,†
SEQUOIA ELEMENTARY,California,Rincon Valley Union Elementary,632640,–,21,48,8,324,4,18,†
SEQUOIA ELEMENTARY,California,Oakland Unified,628050,2,60,82,94,125,7,65,†
SEQUOIA ELEMENTARY,California,Mt. Diablo Unified,626370,2,111,102,14,248,1,50,†
SEQUOIA ELEMENTARY,California,San Diego Unified,634320,0,15,116,3,38,1,23,†
SEQUOIA ELEMENTARY,California,Sacramento City Unified,633840,2,45,158,62,132,4,65,†
SEQUOIA ELEMENTARY,California,Westminster,642150,2,90,185,8,97,7,7,†
SEQUOIA ELEMENTARY,California,Richland Union Elementary,621450,–,21,728,3,85,–,–,†
SEQUOIA ELEMENTARY CHARTER,California,Sequoia Union Elementary,636360,2,2,96,–,183,1,8,†
SEQUOIA HIGH,California,Visalia Unified,641160,2,6,230,3,38,0,3,†
SEQUOIA HIGH,California,Sequoia Union High,636390,6,95,1318,31,625,48,59,†
SEQUOIA HIGH,California,Merced Union High,624660,1,1,84,13,14,1,5,†
SEQUOIA MIDDLE,California,Conejo Valley Unified,609640,3,106,321,7,601,3,43,†
SEQUOIA MIDDLE,California,Redding Elementary,632040,28,17,77,7,493,3,51,†
SEQUOIA MIDDLE,California,Bakersfield City,603630,6,12,927,84,33,2,7,†
SEQUOIA MIDDLE,California,Porterville Unified,600064,8,19,448,3,103,–,24,†
SEQUOIA MIDDLE,California,Fresno Unified,614550,6,109,686,37,12,–,6,†
SEQUOIA MIDDLE,California,Fontana Unified,613920,1,12,1111,27,37,1,3,†
SEQUOIA MIDDLE,California,Mt. Diablo Unified,626370,–,173,341,29,320,5,64,†
SEQUOIA SCHOOL,California,William S. Hart Union High,642510,–,2,15,1,23,–,3,†
SEQUOIA UNION ELEMENTARY,CALIFORNIA,Sequoia Union Elementary,636360,–,–,12,–,29,–,–,†
SERRA (JUNIPERO) ELEMENTARY,California,San Francisco Unified,634410,1,20,203,18,12,8,22,†
SERRA HIGH,California,San Diego Unified,634320,7,188,716,117,462,5,155,†
SERRANIA AVENUE CHARTER FOR ENRICHED STUDIES,California,Los Angeles Unified,622710,–,84,119,69,359,2,38,†
SERRANO ELEMENTARY,California,Orange Unified,628650,–,78,222,9,221,–,26,†
SERRANO ELEMENTARY,California,Moreno Valley Unified,625800,1,19,463,48,12,2,15,†
SERRANO HIGH,California,Snowline Joint Unified,636970,11,68,984,137,899,10,85,†
SERRANO INTERMEDIATE,California,Saddleback Valley Unified,633860,2,140,422,21,529,6,61,†
SERRANO MIDDLE,California,San Bernardino City Unified,634170,7,28,624,102,54,5,19,†
SERRANO MIDDLE,California,Ontario-Montclair,628470,3,36,649,8,14,5,7,†
SESSIONS ELEMENTARY,California,San Diego Unified,634320,–,4,100,7,326,–,61,†
SEVEN HILLS INTERMEDIATE,California,Nevada City Elementary,626820,3,2,28,5,302,1,24,†
SEVENTH STREET ELEMENTARY,California,Los Angeles Unified,622710,1,11,308,22,94,1,23,†
SEVENTY-FIFTH STREET ELEMENTARY,California,Los Angeles Unified,622710,1,–,926,143,52,1,5,†
SEVENTY-FOURTH STREET ELEMENTARY,California,Los Angeles Unified,622710,1,–,175,363,3,1,12,†
SEVICK SPECIAL EDUCATION,California,Cajon Valley Union,606810,†,†,†,†,†,†,†,†
SHACKELFORD ELEMENTARY,California,Modesto City Elementary,625130,1,3,479,4,25,1,23,†
SHADOW HILLS ELEMENTARY,California,Alpine Union Elementary,602100,11,5,83,10,204,–,21,†
SHADOW HILLS ELEMENTARY,California,Fontana Unified,613920,–,17,374,21,21,–,5,†
SHADOW HILLS ENGINEERING AND DESIGN MAGNET ACADEMY,California,Palmdale Elementary,629580,10,21,596,139,28,–,4,†
SHADOW HILLS HIGH,California,Desert Sands Unified,611110,4,36,1713,39,287,3,14,†
SHADOW RIDGE,California,Hesperia Unified,600014,0,2,89,6,45,1,22,†
SHAFFER ELEMENTARY,California,Atwater Elementary,603420,2,38,374,20,109,1,13,†
SHAFFER ELEMENTARY,California,Shaffer Union Elementary,636420,9,2,58,–,103,1,7,†
SHAFTER HIGH,California,Kern High,619540,3,12,1425,6,114,2,12,†
SHANDIN HILLS MIDDLE,California,San Bernardino City Unified,634170,5,9,595,125,52,2,28,†
SHANDON COMMUNITY DAY,California,Shandon Joint Unified,636450,0,0,0,0,0,0,0,†
SHANDON ELEMENTARY,California,Shandon Joint Unified,636450,–,–,152,4,44,1,14,†
SHANDON HIGH,California,Shandon Joint Unified,636450,–,–,63,–,17,–,1,†
SHANNON ELEMENTARY,California,West Contra Costa Unified,632550,–,83,126,59,36,2,23,†
SHANNON RANCH ELEMENTARY,California,Visalia Unified,641160,3,58,522,11,273,–,46,†
SHARON CHRISTA MCAULIFFE MIDDLE,California,Los Alamitos Unified,622590,3,242,286,31,617,7,68,†
SHARP AVENUE ELEMENTARY,California,Los Angeles Unified,622710,2,7,683,1,17,–,8,†
SHASTA CHARTER ACADEMY,California,Shasta Union High,636600,4,5,27,2,190,–,15,†
SHASTA COUNTY INDEPENDENT STUDY CHARTER,California,Shasta County Office of Education,691037,9,3,22,2,73,1,5,†
SHASTA COUNTY JUVENILE COURT,California,Shasta County Office of Education,691037,0,0,0,1,8,0,2,†
SHASTA COUNTY SPECIAL EDUCATION,California,Shasta County Office of Education,691037,3,1,4,0,38,0,1,†
SHASTA ELEMENTARY,California,Shasta Union Elementary,636570,12,–,15,2,119,2,1,†
SHASTA ELEMENTARY,California,Chico Unified,608370,8,24,125,3,414,1,33,†
SHASTA ELEMENTARY,California,Manteca Unified,623610,1,21,543,8,147,2,22,†
SHASTA HIGH,California,Shasta Union High,636600,77,76,186,35,1064,9,43,†
SHASTA LAKE,California,Gateway Unified,614950,39,10,89,7,447,7,42,†
SHASTA MEADOWS ELEMENTARY,California,Enterprise Elementary,612810,10,17,67,4,218,2,61,†
SHASTA PLUS,California,Shasta Union High,636600,4,2,5,–,32,–,–,†
SHASTA-TRINITY ROP,California,Shasta-Trinity ROP,600125,0,0,0,0,0,0,0,†
SHATTUCK EDUCATIONAL PARK,California,Delhi Unified,600039,0,0,28,0,6,0,0,†
SHATTUCK INDEPENDENT STUDY,California,Delhi Unified,600039,–,–,13,–,4,–,1,†
SHEARER ELEMENTARY,California,Napa Valley Unified,626640,–,1,493,3,40,1,1,†
SHELDON ELEMENTARY,California,West Contra Costa Unified,632550,–,81,146,100,31,2,22,†
SHELDON HIGH,California,Elk Grove Unified,612330,11,854,599,327,389,31,178,†
SHELL BEACH ELEMENTARY,California,Lucia Mar Unified,623080,3,18,80,9,288,3,22,†
SHELTER COVE,California,Fort Bragg Unified,614070,0,0,3,0,4,0,0,†
SHELYN ELEMENTARY,California,Rowland Unified,633750,–,204,174,6,18,4,11,†
SHENANDOAH STREET ELEMENTARY,California,Los Angeles Unified,622710,–,4,438,20,12,–,1,†
SHENANDOAH VALLEY,CALIFORNIA,Amador County Office of Education,691001,1,0,5,0,37,0,3,†
SHEPPARD ELEMENTARY,California,Roseland,633510,3,5,482,–,12,–,8,†
SHERIDAN,California,Western Placer Unified,642140,2,–,29,2,30,–,4,†
SHERIDAN ELEMENTARY,California,San Francisco Unified,634410,4,62,70,42,7,2,25,†
SHERIDAN ELEMENTARY,California,Kings Canyon Joint Unified,619700,–,3,521,–,5,–,–,†
SHERIDAN STREET ELEMENTARY,California,Los Angeles Unified,622710,–,2,864,8,34,1,3,†
SHERIDAN WAY ELEMENTARY,California,Ventura Unified,640980,2,1,452,2,14,–,4,†
SHERMAN ELEMENTARY,California,San Francisco Unified,634410,5,82,66,36,134,–,56,†
SHERMAN ELEMENTARY,California,San Diego Unified,634320,1,4,591,24,11,1,31,†
SHERMAN OAKS CENTER FOR ENRICHED STUDIES,California,Los Angeles Unified,622710,8,387,743,74,826,11,42,†
SHERMAN OAKS ELEMENTARY,California,Campbell Union,607200,–,6,469,8,29,–,23,†
SHERMAN OAKS ELEMENTARY CHARTER,California,Los Angeles Unified,622710,1,45,184,59,488,6,50,†
SHERMAN THOMAS CHARTER,California,Madera Unified,623340,–,4,136,3,67,–,5,†
SHERMAN THOMAS CHARTER HIGH,California,Madera Unified,623340,–,–,43,–,16,–,4,†
SHERWOOD,California,Willits Unified,642560,–,1,2,–,13,–,9,†
SHERWOOD ELEMENTARY,California,Salinas City Elementary,633930,–,1,925,–,4,–,–,†
SHERWOOD ELEMENTARY,California,Sylvan Union Elementary,638670,1,37,146,17,214,5,43,†
SHERWOOD MONTESSORI,California,Chico Unified,608370,3,1,19,–,104,–,11,†
SHERY (KURT T.) HIGH (CONTINUATION),California,Torrance Unified,639420,0,17,90,8,22,0,7,†
SHILOH CHARTER,California,Shiloh Elementary,636660,–,–,76,–,33,–,11,†
SHILOH ELEMENTARY,California,Shiloh Elementary,636660,0,1,23,0,10,0,4,†
SHIRAKAWA (GEORGE SR.) ELEMENTARY,California,Franklin-McKinley Elementary,614370,–,351,368,22,43,1,29,†
SHIRLEY AVENUE ELEMENTARY,California,Los Angeles Unified,622710,2,30,413,9,35,2,4,†
SHIRLEY LANE ELEMENTARY,California,Fairfax Elementary,613290,2,10,611,16,38,–,18,†
SHIRPSER ELEMENTARY,California,El Monte City,612090,–,40,576,–,1,–,–,†
SHIVELA MIDDLE,California,Murrieta Valley Unified,600029,3,122,595,89,534,5,75,†
SHOAL CREEK ELEMENTARY,California,Poway Unified,631530,1,149,94,16,255,4,70,†
SHORE ACRES ELEMENTARY,California,Mt. Diablo Unified,626370,1,11,456,23,23,–,25,†
