School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
AGNES L. SMITH ELEMENTARY,California,Huntington Beach City Elementary,618030,4,55,180,9,496,1,84,†
AGNES M. BAPTIST ELEMENTARY,California,Stanislaus Union Elementary,637950,6,102,263,42,151,8,50,†
AGNES WARE STANLEY ELEMENTARY,California,Garden Grove Unified,614880,–,117,190,1,33,2,11,†
AGOURA HIGH,California,Las Virgenes Unified,621000,13,140,221,41,1589,3,80,†
AGUA CALIENTE ELEMENTARY,California,Palm Springs Unified,629550,–,4,552,1,2,1,7,†
AHWAHNEE HIGH,California,Yosemite Unified,600160,2,0,5,0,12,0,2,†
AHWAHNEE MIDDLE,California,Fresno Unified,614550,7,68,460,68,92,6,14,†
AILEEN COLBURN ELEMENTARY,California,Atwater Elementary,603420,3,8,346,7,46,–,1,†
AKERS ELEMENTARY,California,Central Union Elementary,607980,9,43,158,77,321,9,64,†
AKIRA YOKOMI ELEMENTARY,California,Fresno Unified,614550,3,30,663,50,40,2,12,†
ALAIN LEROY LOCKE COLLEGE PREPARATORY ACADEMY,California,Los Angeles Unified,622710,6,–,1134,422,4,–,20,†
ALAMEDA COMMUNITY LEARNING CENTER,California,Alameda Unified,601770,1,92,64,27,149,–,41,†
ALAMEDA COUNTY COMMUNITY,California,Alameda County Office of Education,691051,0,12,109,95,13,2,11,†
ALAMEDA COUNTY JUVENILE HALL/COURT,California,Alameda County Office of Education,691051,0,1,21,58,2,0,5,†
ALAMEDA COUNTY SPECIAL EDUCATION,California,Alameda County Office of Education,691051,†,†,†,†,†,†,†,†
ALAMEDA ELEMENTARY,California,Downey Unified,611460,2,17,546,16,24,3,2,†
ALAMEDA HIGH,California,Alameda Unified,601770,4,819,201,111,556,9,86,†
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,Alameda Unified,601770,–,119,17,7,30,4,6,†
ALAMITOS INTERMEDIATE,California,Garden Grove Unified,614880,1,253,450,8,37,10,6,†
ALAMO ELEMENTARY,California,San Ramon Valley Unified,635130,1,48,33,5,232,–,43,†
ALAMO ELEMENTARY,California,San Francisco Unified,634410,–,258,52,6,139,6,72,†
ALAMO ELEMENTARY,California,Vacaville Unified,640590,2,19,210,20,368,7,55,†
ALAMOS ELEMENTARY,California,Temecula Valley Unified,600028,2,121,294,43,322,2,111,†
ALAMOSA PARK ELEMENTARY,California,Vista Unified,641190,5,35,218,12,251,11,48,†
ALBA,California,San Diego Unified,634320,0,1,20,7,2,1,1,†
ALBANY HIGH,California,Albany City Unified,601860,3,353,199,50,427,3,129,†
ALBANY MIDDLE,California,Albany City Unified,601860,1,257,151,25,361,3,121,†
ALBANY PARK ELEMENTARY,California,Delano Union Elementary,610890,–,36,382,1,–,–,1,†
ALBERT A. MICHELSON ELEMENTARY,California,Vallecito Union,640680,4,4,47,–,153,–,15,†
ALBERT BAXTER ELEMENTARY,California,Bellflower Unified,604440,1,30,380,47,21,1,4,†
