School Name,School Name [Public School] 201617,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,FullTime Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Total Students All Grades (Includes AE)
ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,Alliance Tennenbaum Family Technology High,Los Angeles Unified,622710,6037,4,17,323,5,3,1,,18.1,19.5,353
ALLISON ELEMENTARY,Allison Elementary,Pomona Unified,631320,6037,1,3,276,4,15,,2,13,23.15,301
ALMA PRESCHOOL,Alma Preschool,Castro Valley Unified,607800,6001,,,,,,,,,,
ALMADEN ELEMENTARY,Almaden Elementary,San Jose Unified,634590,6085,,12,282,5,26,4,14,13.65,25.13,343
ALMANOR HIGH (CONTINUATION),Almanor High (Continuation),Plumas Unified,631170,6063,1,0,0,0,2,0,0,,,3
ALMERIA MIDDLE,Almeria Middle,Fontana Unified,613920,6071,,26,663,72,50,1,6,36.57,22.37,818
ALMOND ACRES CHARTER ACADEMY,Almond Acres Charter Academy,San Miguel Joint Union,635010,6079,,1,62,,203,,14,14,20,280
ALMOND ELEMENTARY,Almond Elementary,Los Altos Elementary,622650,6085,1,179,81,2,213,2,63,22,24.59,541
ALMOND ELEMENTARY,Almond Elementary,Fontana Unified,613920,6071,1,7,495,14,18,,5,22.78,23.71,540
ALMOND GROVE ELEMENTARY,Almond Grove Elementary,Oakley Union Elementary,628080,6013,2,67,136,41,196,1,6,21,21.38,449
ALMOND TREE MIDDLE,Almond Tree Middle,Delano Union Elementary,610890,6029,1,56,573,2,4,3,3,29,22.14,642
ALMONDALE ELEMENTARY,Almondale Elementary,Rosedale Union Elementary,633480,6029,2,37,237,12,357,1,26,31,21.68,672
ALOHA ELEMENTARY,Aloha Elementary,ABC Unified,601620,6037,1,21,209,82,29,14,16,14,26.57,372
ALONDRA MIDDLE,Alondra Middle,Paramount Unified,629850,6037,,17,854,56,10,20,9,40,24.15,966
ALPAUGH SENIOR HIGH,Alpaugh JuniorSenior High,Alpaugh Unified,602010,6107,,,120,,6,,,10.51,11.99,126
ALPAUGH ELEMENTARY,Alpaugh Elementary,Alpaugh Unified,602010,6107,1,4,191,,16,,1,10.5,20.29,213
ALPHA CHARTER,Alpha Charter,Elverta Joint Elementary,612600,6067,1,2,16,12,7,1,11,0.6,83.33,50
ALPHA CINDY AVITIA HIGH,Alpha Cindy Avitia High,East Side Union High,611820,6085,1,23,263,0,2,0,4,14.3,20.49,293
ALPHA ELEMENTARY,Alpha Elementary,Madera Unified,623340,6039,1,6,696,17,44,,3,28.5,26.91,767
ALPHA TECHNOLOGY MIDDLE,Alpha Technology Middle,Elverta Joint Elementary,612600,6067,3,3,28,8,34,,8,4.2,20,84
ALPHA: BLANCA ALVARADO MIDDLE,Alpha: Blanca Alvarado Middle,Alum Rock Union Elementary,602310,6085,,25,343,2,3,1,34,12,34,408
ALPHA: CORNERSTONE ACADEMY PREPARATORY,Cornerstone Academy Preparatory,FranklinMcKinley Elementary,614370,6085,,269,161,9,1,,11,16,28.19,451
ALPHA: JOSE HERNANDEZ,Alpha: Jose Hernandez Middle,Santa Clara County Office of Education,691035,6085,,27,407,2,1,,10,15,29.8,447
ALPINE COUNTY OPPORTUNITY,Alpine County Opportunity,Alpine County Office of Education,691058,6003,2,0,0,0,0,0,0,1,2,2
ALPINE COUNTY SECONDARY COMMUNITY DAY,Alpine County Secondary Community Day,Alpine County Unified,602070,6003,0,0,0,0,0,0,0,,,0
ALPINE ELEMENTARY,Alpine Elementary,Keppel Union Elementary,619440,6037,4,,383,17,59,,6,20.64,22.72,469
ALPINE ELEMENTARY,Alpine Elementary,Alpine Union Elementary,602100,6073,21,4,62,3,160,2,8,10,26,260
ALPINE VISTA,Alpine Vista,Tulare City,639870,6107,2,33,762,31,370,4,11,48.17,25.18,1213
ALPS VIEW HIGH (CONTINUATION),Alps View High (Continuation),Trinity Alps Unified,601331,6105,1,0,0,0,1,0,1,0.65,4.62,3
ALTA CALIFORNIA ELEMENTARY,Alta California Elementary,Los Angeles Unified,622710,6037,,14,732,7,10,,1,33,23.15,764
ALTA ELEMENTARY,Alta Elementary,Kings Canyon Joint Unified,619700,6019,,3,337,,14,,4,14,25.57,358
ALTA HEIGHTS ELEMENTARY,Alta Heights Elementary,Napa Valley Unified,626640,6055,1,3,148,1,187,,24,15.4,23.64,364
ALTA LOMA ELEMENTARY,Alta Loma Elementary,Los Angeles Unified,622710,6037,,2,465,55,20,,3,24,22.71,545
ALTA LOMA ELEMENTARY,Alta Loma Elementary,Alta Loma Elementary,602160,6071,3,24,289,38,143,4,1,19,26.42,502
ALTA LOMA HIGH,Alta Loma High,Chaffey Joint Union High,608160,6071,15,121,1358,183,794,17,43,101.45,24.95,2531
ALTA LOMA JUNIOR HIGH,Alta Loma Junior High,Alta Loma Elementary,602160,6071,1,40,267,30,335,4,4,27.08,25.15,681
ALTA LOMA MIDDLE,Alta Loma Middle,South San Francisco Unified,637530,6081,1,262,275,9,69,19,52,32.2,21.34,687
ALTA MESA ELEMENTARY,Alta Mesa Elementary,Enterprise Elementary,612810,6089,5,20,61,4,146,,47,13,21.77,283
ALTA MURRIETA ELEMENTARY,Alta Murrieta Elementary,Murrieta Valley Unified,600029,6065,3,62,352,21,306,5,61,30.5,26.56,810
ALTA SIERRA ELEMENTARY,Alta Sierra Elementary,Pleasant Ridge Union Elementary,630930,6057,1,3,15,,275,1,9,16,19,304
ALTA SIERRA INTERMEDIATE,Alta Sierra Intermediate,Clovis Unified,609030,6019,5,178,431,26,711,2,53,56.34,24.96,1406
ALTA VISTA ACADEMY,Alta Vista Academy,Sweetwater Union High,638640,6073,1,1,18,5,13,1,2,8.11,5.06,41
ALTA VISTA ALTERNATIVE HIGH,Alta Vista Alternative High,Santa Barbara Unified,601414,6083,1,4,62,2,70,1,2,2.2,64.55,142
ALTA VISTA ALTERNATIVE JUNIOR HIGH,Alta Vista Alternative Junior High,Santa Barbara Unified,601414,6083,0,0,1,0,0,0,0,1,1,1
ALTA VISTA COMMUNITY CHARTER,Alta Vista Community Charter,Auburn Union Elementary,603480,6061,1,1,13,1,111,1,10,5.5,25.09,138
ALTA VISTA ELEMENTARY,Alta Vista Elementary,Alta Vista Elementary,602220,6107,4,5,449,,76,19,2,26,21.35,555
ALTA VISTA ELEMENTARY,Alta Vista Elementary,Union Elementary,640320,6085,2,150,56,2,362,2,68,27,23.78,642
ALTA VISTA ELEMENTARY,Alta Vista Elementary,Redondo Beach Unified,600032,6037,,81,141,21,342,,97,28,24.36,682
ALTA VISTA HIGH,Alta Vista High,Mountain ViewLos Altos Union High,626310,6085,,3,57,4,14,3,1,7.5,10.93,82
ALTA VISTA HIGH (CONTINUATION),Alta Vista High (Continuation),Vista Unified,641190,6073,2,0,141,2,11,2,2,13.5,11.85,160
ALTA VISTA PUBLIC,Alta Vista Public,Adelanto Elementary,601710,6071,3,10,901,272,295,7,90,58.82,26.83,1578
ALTA VISTA SOUTH PUBLIC CHARTER,Alta Vista South Public Charter,Helendale Elementary,616860,6071,5,5,438,51,67,4,22,30.89,19.16,592
ALTADUTCH FLAT ELEMENTARY,AltaDutch Flat Elementary,AltaDutch Flat Union Elementary,602250,6061,1,1,6,,91,,5,4.5,23.11,104
ALTADENA ELEMENTARY,Altadena Elementary,Pasadena Unified,629940,6037,2,2,158,72,12,,10,10,25.6,256
ALTAMONT CREEK ELEMENTARY,Altamont Creek Elementary,Livermore Valley Joint Unified,622110,6001,3,74,122,9,291,2,50,23.6,23.35,551
ALTAMONT ELEMENTARY,Altamont Elementary,Lammersville Joint Unified,601410,6077,4,353,146,37,156,9,81,31.5,24.95,786
ALTERNATIVE COOPERATIVE EDUCATION CHARTER,Alternative Cooperative Education Charter,Vacaville Unified,640590,6095,,,25,4,84,,11,4.6,26.96,124
ALTERNATIVE EDUCATIONSAN JOAQUIN HIGH,Alternative EducationSan Joaquin High,Irvine Unified,684500,6059,,16,6,2,27,1,7,6.66,8.86,59
ALTERNATIVE FAMILY EDUCATION,Alternative Family Education,Santa Cruz City High,635600,6087,,5,8,1,139,,8,5.5,29.27,161
ALTERNATIVE LEARNING ACADEMY AT CONLEYCARABALLO HIGH,Alternative Learning Academy at ConleyCaraballo High,New Haven Unified,626910,6001,,1,5,3,3,,,1,12,12
ALTERNATIVE LEARNING CENTER,Alternative Learning Center,San Bernardino City Unified,634170,6071,0,0,20,4,5,0,0,3,9.67,29
